Isolate,Vancomycin,Streptomycin,Macrolide,Chloramphenicol,Amikacin/Gentamicin/Kanamycin/Tobramycin,Florfenicol/Oxazolidinone,Chloramphenicol/Florfenicol,Amikacin/Kanamycin,Other antimicrobial,Tetracycline,Lincosamide/Macrolide/Streptogramin,Lincosamides,Lincosamide/Streptogramin,Other aminoglycoside resistance (non-RMT),Trimethoprim,Fosfomycin,Quinolone,Amikacin/Kanamycin/Tobramycin,Streptogramin
NZ_CP059756.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,tet(L),,,,,,,,,
NZ_CP059822.1,,,,,,,,,,,,,,,,,,,
NZ_CP059821.1,,,,,,,,,,,,,,,,,,,
NZ_CP059819.1,,,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
NZ_CP059818.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP059817.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP059828.1,,,,,,,,,,,,,,,,,,,
NZ_CP059826.1,,,,,,,,,,tet(S),,,,,,,,,
NZ_CP059825.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,aph(3')-IIIa,sat4,,,,,,,,,,
NZ_CP059824.1,,,"erm(B),erm(B)*",,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OU015349.1,,,,,,,,,,,,,,,,,,,
NZ_OU015348.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,lnu(B),lsa(E),,,,,,
NZ_OU015347.1,,,,,,,,,,,,,,,,,,,
NZ_OU015346.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OU015352.1,,,,,,,,,,,,,,,,,,,
NZ_OU015351.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OR095740.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OQ883948.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OR095736.1,,ant(6)-Ia,erm(B)*,,aac(6')-Ie/aph(2'')-Ia*,,,aph(3')-IIIa,,,,,lsa(E),,,,,,
NZ_OQ883946.1,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_OR095734.1,"vanH-M,vanM,vanR-M,vanS-M,vanS-M*,vanX-M,vanS-M*,vanX-M^",,,,,,,,,,,,,,,,,,
NZ_OQ883947.1,,,,,,,,,,,,,,,,,,,
NZ_OR095735.1,,,,,,,,,,,,,,,,,,,
NZ_OR095737.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",ant(6)-Ia,erm(B),,,,,,sat4^,,,,,,,,,,
NZ_OR095738.1,,ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,,lsa(E),,,,,,
NZ_OR095733.1,,,,,,,,,,,,,,,,,,,
NZ_OR095739.1,,,,,,,,,,,,,,,,,,,
NZ_CP102535.1,,,,,,,,,,,,,,,,,,,
NZ_CP079929.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP079928.1,,,,,,optrA*,fexA*,,,,,,,,,,,,
NZ_CP040906.1,,,,,,,,,,,,,,,,,,,
NZ_CP040905.1,,ant(6)-Ia*,erm(B),,,,,aph(3')-IIIa,emtA*,"tet(L),tet(M)*",,lnu(B)*,lsa(E),spw*,dfrG,,,,
NZ_CP040877.1,,,,,,,,,,,,,,,,,,,
NZ_CP040876.1,,,,,,,,,,,,,,,,,,,
NZ_CP040874.1,,,,,,,,,,,,,,,,,,,
NZ_CP040873.1,,,,,,,,,,,,,,,,,,,
NZ_CP040851.1,,,,,,,,,emtA*,,,,,,,,,,
NZ_CP040850.1,,ant(6)-Ia,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,lnu(B),lsa(E),spw,,,,,
NZ_AF511037.1,,,,,,,,,,,,,,,,,,,
NZ_CP084186.1,,,,,,,,,,,,,,,,,,,
NZ_CP084185.1,,,,,,,,,,,,,,,,,,,
NZ_CP084184.1,,,,,,,,,,,,,,,,,,,
NZ_CP084181.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,,,,,,,,,,
NZ_CP084180.1,,,poxtA,,,,,,,"tet(L),tet(M)*",,,,,,,,,
NZ_CP084179.1,,ant(6)-Ia,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,,,,,,,
NZ_CP065783.1,,,,,,,,,,,,,,,,,,,
NZ_CP065782.1,,,,,,,,,,,,,,,,,,,
NZ_CP065781.1,,,,,,,,,,,,,,,,,,,
NZ_CP065780.1,,,,,,,,,,,,,,,,,,,
NZ_CP065779.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP065778.1,,ant(6)-Ia,erm(B),,,,,,,tet(L)*,,lnu(B),lsa(E),spw,,,,,
NZ_CP065769.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP065768.1,,,,,,,,,,,,,,,,,,,
NZ_CP065763.1,,,,,,,,,,,,,,,,,,,
NZ_CP065762.1,,,,,,,,,,,,,,,,,,,
NZ_CP065761.1,,,,,,,,,,,,,,,,,,,
NZ_CP065760.1,,,,,,,,,,,,,,,,,,,
NZ_CP065759.1,,,,,,,,,,,,,,,,,,,
NZ_CP065758.1,,,,,,,,,,,,,,,,,,,
NZ_CP065757.1,,,poxtA,catA,,,,,,"tet(L),tet(M)",,,,,,,,,
NZ_CP065756.1,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B),,,,,,,,,,,,,,,,
NZ_CP065755.1,,,,,,,,,,,,,,,,,,,
NZ_CP065772.1,,,poxtA,,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP065771.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B),,,optrA*,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,dfrG,,,,
NZ_CP065753.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP065776.1,,,poxtA,,,,,,,,,,,,,,,,
NZ_CP065775.1,,,,catA,,,,,,"tet(L)*,tet(M)",,,,,,,,,
NZ_CP065774.1,,"ant(6)-Ia,ant(6)-Ia^",erm(B),,aac(6')-Ie/aph(2'')-Ia,optrA,,aph(3')-IIIa,sat4,,,lnu(B),lsa(E),spw,dfrG,,,,
NZ_CP132228.1,,,,,,,,,,,,,,,,,,,
NZ_CP132227.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,,,,"tet(L),tet(M)*",,,,,,,,,
CP131611.1,"vanA,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
CP131533.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131531.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131513.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A,vanA*,vanH-A^",,erm(A),,,,,,,,,,,ant(9)-Ia,,,,,
CP131505.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131497.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131507.1,"vanA,vanH-A,vanR-A,vanX-A,vanS-A*,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131509.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP131499.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131511.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A,vanS-A*,vanX-A*,vanY-A^",,erm(A),,,,,,,,,,,ant(9)-Ia,,,,,
CP131495.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,,,,,,,,,,,,,,,,,
CP131529.1,"vanA,vanX-A,vanY-A,vanZ-A,vanH-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131493.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131525.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131527.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanY-A*,vanZ-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP131519.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
CP131523.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,,,,,,,,,,,,
CP131521.1,"vanA,vanH-A,vanR-A,vanX-A,vanS-A*,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131517.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131515.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(A),,,,,,,,,,,ant(9)-Ia,,,,,
CP131501.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131503.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,aac(6')-Ie/aph(2'')-Ia*,,,aph(3')-IIIa,,,,,,,,,,,
CP131491.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131124.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131126.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,"erm(A),erm(B)*",,,,,,,,,,,ant(9)-Ia,,,,,
CP131116.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A*,vanY-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP131118.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,"erm(A),erm(B)*",,,,,aph(3')-IIIa,,,,,,ant(9)-Ia,,,,,
CP131112.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131108.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131122.1,"vanA,vanH-A,vanR-A,vanS-A,vanY-A,vanZ-A,vanA*,vanX-A^",,erm(A),,,,,,,,,,,ant(9)-Ia,,,,,
CP131120.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131106.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131114.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP131110.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131102.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)^,,,,,,,,,,,,,,,,
CP131100.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,,,,,,,,,,,,
CP131098.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131104.1,,,erm(B)^,,,,,,,,,,,,,,,,
CP131094.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131096.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131070.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131078.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,erm(B)^,,,,,,,,,,,,,,,,
CP131072.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131088.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)^,,,,,,,,,,,,,,,,
CP131076.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,,,,,,,,,,,,,,,,,
CP131080.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A,vanS-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131082.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131090.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131092.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanA^",,erm(B)*,,,,,,,,,,,,,,,,
CP131084.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131086.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131074.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131068.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131066.1,"vanA,vanH-A,vanR-A*,vanS-A,vanX-A*,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131064.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131055.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131053.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
CP131047.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP131049.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131051.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,,,,,,,,,,,,,,,,,
CP131045.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131043.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131041.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131017.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
CP131015.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131021.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131019.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131011.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",,erm(B)*,,,,,aph(3')-IIIa^,,,,,,,,,,,
CP131013.1,"vanA,vanA*,vanH-A,vanX-A,vanY-A,vanZ-A",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131028.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,,,,,,,,,,,,,,,,,
CP131032.1,"vanA,vanH-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP131034.1,"vanY-A,vanZ-A",,,,,,,,,,,,,,,,,,
CP131036.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP131009.1,"vanA,vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A,vanA*,vanH-A*,vanS-A*,vanX-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131026.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,,,,,,,,,,,,
CP131038.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131030.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP131005.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A,vanA*,vanR-A*,vanS-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131007.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A",ant(6)-Ia,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130999.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131001.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP131003.1,"vanA,vanH-A,vanS-A,vanX-A,vanR-A*,vanY-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP130997.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP130995.1,"vanA,vanR-A,vanH-A*,vanS-A*,vanX-A*,vanY-A^",,erm(B)^,,,,,,,,,,,,,,,,
CP130993.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A,vanZ-A,vanA*,vanH-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130915.1,"vanA,vanH-A,vanS-A*,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP130913.1,"vanA,vanH-A,vanS-A,vanX-A,vanY-A*,vanR-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP130911.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130909.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130907.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130876.1,"vanA,vanH-A,vanR-A,vanR-A*,vanS-A,vanS-A*,vanX-A,vanA*,vanX-A*,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130880.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130878.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130850.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130834.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,,,,,,,,,,,,
CP130836.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*",,erm(B)*,,,,,,,,,,,,,,,,
CP130838.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130842.1,"vanA,vanH-A,vanR-A,vanX-A,vanS-A*,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130840.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130844.1,"vanA,vanH-A,vanX-A,vanY-A*,vanR-A*,vanS-A^",,erm(B)*,,,,,,,,,,,,,,,,
CP130864.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
CP130860.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A",,erm(B)*,,,,,,,,,,,,,,,,
CP130846.1,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A^",,erm(B)*,,,,,aph(3')-IIIa,,,,,,,,,,,
