Isolate,Chloramphenicol,Tetracycline,Macrolide,Amikacin/Kanamycin,Other antimicrobial,Streptomycin,Lincosamides,Lincosamide/Streptogramin,Other aminoglycoside resistance (non-RMT),Amikacin/Gentamicin/Kanamycin/Tobramycin,Trimethoprim,Vancomycin,Florfenicol/Oxazolidinone,Chloramphenicol/Florfenicol,Lincosamide/Macrolide/Streptogramin,Kanamycin/Tobramycin,Streptogramin,Fosfomycin
NZ_CP109612.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
NZ_CP088202.1,,,poxtA2,,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP088201.1,catA,tet(L),erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP091236.1,,,"erm(B)*,poxtA2",,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP097041.1,,,,,,,,,,,,,,,,,,
NZ_CP097040.1,,,poxtA,,,,,,,,,,,,cfr(D),,,
NZ_CP097039.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,ant(6)-Ia,,,,,dfrG*,,,,,,,
NZ_CP097037.1,,,,,,,,,,,,,,,cfr(D),,,
NZ_CP097036.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP097035.1,,,,,,,,,,,,,,,,,,
NZ_CP097033.1,,,,,,,,,,,,,,,,,,
NZ_CP097032.1,catA*,"tet(L)*,tet(M)","erm(B),erm(B)*",aph(3')-IIIa,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
NZ_CP097003.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,ant(6)-Ia^,,,,,,,,,,,,
NZ_CP097021.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,"ant(6)-Ia,str",,,,,dfrG*,,,,,,,
NZ_CP097050.1,,,,,,,,,,,,,,,,,,
NZ_CP097049.1,,,,,,,,,,,,,,,,,,
NZ_CP097071.1,,,,,,,,,,,,,,,,,,
NZ_CP097070.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,,,,,,
NZ_CP097058.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,"ant(6)-Ia,str",,,,,dfrG*,,,,,,,
NZ_CP097057.1,,,,,,,,,,,,,,,,,,
NZ_CP097068.1,,,,,,,,,,,,,,,,,,
NZ_CP097067.1,catA*,"tet(L),tet(M)",erm(B),,,str,,,,,,,,,cfr(D),,,
NZ_CP097013.1,,,,,,,,,,,,,,,,,,
NZ_CP097012.1,,,,,,,,,,,,,,,,,,
NZ_CP097011.1,catA*,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E)^,spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_CP097009.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4^,str,,,,,dfrG*,,optrA*,fexA*,,,,
NZ_CP097047.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",,,str,,,,,dfrG*,,,,,,,
NZ_CP124924.1,,,,,,,,,,,,,,,,,,
NZ_CP124910.1,,,,,,,,,,,,,,,,,,
NZ_CP124909.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP124899.1,,,,,,,,,,,,,,,,,,
NZ_CP124883.1,,,,,,,,,,,,,,,,,,
NZ_CP124915.1,,,erm(B),,,,,,,,,,,,,,,
NZ_CP124920.1,,,,,,,,,,,,,,,,,,
NZ_CP124919.1,,,,,,,,,,,,,,,,,,
NZ_CP124922.1,,,,,,,,,,,,,,,,,,
NZ_CP124907.1,,,,,,,,,,,,,,,,,,
NZ_CP124892.1,,,,,,,,,,,,,,,,,,
NZ_CP124904.1,,,,,,,,,,,,,,,,,,
NZ_CP124903.1,,,,,,,,,,,,,,,,,,
NZ_CP124902.1,,,,,,,,,,,,,,,,,,
NZ_CP124888.1,,,,,,str,,,,,dfrG,,,,,,,
NZ_CP124917.1,,,,,,,,,,,,,,,,,,
NZ_CP124912.1,,,,aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP124897.1,,,,,,,,,,,,,,,,,,
NZ_CP124896.1,,,,,,,,,,,,,,,,,,
NZ_CP124895.1,,,,,,,,,,,,,,,,,,
NZ_OQ434560.1,,,,,,,,,,,,,,,cfr,,,
NZ_CP106758.1,catA*,"tet(L),tet(M)",,,,str*,,,,,,,,,,,,
NZ_OQ181209.1,,,,,,,,,,,,,optrA,fexA*,,,,
NZ_OQ181208.1,,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,optrA*,fexA*,,,,
NZ_OP046177.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,optrA*,fexA*,,,,
NZ_OP046173.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG*,,optrA*,fexA*,,,,
NZ_OP046174.1,,,erm(B)*,aph(3')-IIIa,,,,,,,dfrG,,,,,,,
NZ_OP046178.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,dfrG^,,optrA*,fexA*,,,,
NZ_OP046172.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_OP046175.1,,,poxtA2,,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP091909.1,,,,,,,,,,,,,,,,,,
NZ_MT874923.1,,,,,,,,,,,,,,,cfr*,,,
NZ_MT874924.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP072508.1,,,erm(B),,,,lnu(C)*,,ant(9)-Ia,,,,optrA*,,,,,
NZ_CP042217.2,,tet(L),,,,,,,,,,,,,,,,
NZ_CP069129.1,,"tet(L)*,tet(M)","erm(B),poxtA",aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,vat(E),
NZ_CP069130.1,,"tet(L)*,tet(M)","erm(B),poxtA",,,,,,,,dfrG,,,,,,vat(E),
NZ_CP069131.1,,"tet(L)*,tet(M)",poxtA,,,,,,,,dfrG,,,,,,,
NZ_CP069155.1,,"tet(L)*,tet(M)",,,,,,,,,dfrG,,,,,,vat(E),
NZ_MK140641.1,,,"erm(B),poxtA",,sat4^,ant(6)-Ia^,lnu(G),,,aac(6')-Ie/aph(2'')-Ia,dfrG*,,optrA*,,,,,
NZ_MK140642.1,,,poxtA,,,,,,,,,,,,,,,
NZ_KT448819.1,,,erm(B)*,aph(3')-IIIa,,ant(6)-Ia,lnu(B),lsa(E),spw,,,,,,,,,
NZ_KT448820.1,,,erm(B)*,aph(3')-IIIa,,ant(6)-Ia,lnu(B),lsa(E),spw*,,,,,,,,,
NZ_KT448817.1,,,erm(B)*,aph(3')-IIIa,,ant(6)-Ia,lnu(B),lsa(E),spw,,,,,,,,,
NZ_KT448821.1,,,erm(B)*,aph(3')-IIIa,,ant(6)-Ia,lnu(B),lsa(E),spw,,,,,,,,,
NZ_KT448818.1,,,erm(B)*,aph(3')-IIIa,,ant(6)-Ia,lnu(B),lsa(E),spw,,,,,,,,,
NC_023913.1,,,,,,,,,,,,,,,cfr*,,,
NC_019284.1,,,erm(B)*,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
NC_019213.1,,,erm(B)*,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
NC_014508.2,,,,,,,,,,,,,,,cfr*,,,
NC_014726.1,,,erm(B),,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A*,vanZ-A",,,,,,
NC_014475.1,,,erm(B)*,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
NC_011642.1,,,,,,,,,,,,"vanB,vanH-B,vanR-B,vanS-B,vanW-B,vanX-B,vanY-B",,,,,,
NC_006827.2,,tet(M),,,,,,,,,,,,,,,,
NC_002630.1,,,,,,,,,,,,,,,,,,
NZ_CP104857.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia^,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
NZ_CP060798.1,,,,,,,,,,,,,,,,,,
NZ_CP060797.1,,,,,,,,,,,,,,,,,,
NZ_CP046249.1,,,,,,,,,,,,,,,,,,
NZ_CP046248.1,,,,,,,,,,,,,,,,,,
NZ_CP049777.1,,,erm(B)*,,,,,,,,,,,,,,,fosB3
NZ_CP049776.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",,,,,,,,dfrG*,,,,,,,
NZ_CP093958.1,,,,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
NZ_CP092580.1,,,,,,,,,,,,,,,,,,
NZ_CP092579.1,,,,,,,,,,,,,,,,,,
NZ_CP092578.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
NZ_CP092577.1,,,,,,,,,,,,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A^",,,,,,
NZ_CP092910.1,,,,,,,,,,,,,,,,,,
NZ_CP092909.1,,,,,,,,,,,,,,,,,,
NZ_CP092908.1,,,,,,,,,,,,,,,,,,
NZ_CP071177.1,,,,,,,,,,,,,,,,,,
NZ_CP119530.1,,,,,,,,,,,,,,,,,,
NZ_CP119529.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP119162.1,,,erm(B),,,,,,,,,,,,,,,
NZ_CP119161.1,,,,,,,,,,,,,,,,,,
NZ_CP119160.1,catA,,erm(B),,,,,,,,,,,,,,,
NZ_CP069187.1,,,,,,,,,,,,,,,,,,
NZ_CP069186.1,,,,,,,,,,,,,,,,,,
NZ_CP028726.1,,,erm(B),,,,,,,,,,,,,,,
NZ_CP028725.1,,,erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_CP028723.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP028722.1,,,,,,,,,,,,,,,,,,
NZ_CP028721.1,,,,,,,,,,,,,,,,,,
NZ_CP118049.1,,,,,,,,,,,,,,,,,,
NZ_CP118757.1,,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,ant(6)-Ia,,,,,dfrG*,,optrA*,fexA*,,,,
NZ_CP118756.1,,,,,,,,,,,,,,,,,,
CP118086.1,,,,,,,,,,,,,,,,,,
CP118075.1,,,,,,,,,,,,,,,,,,
CP118074.1,,,,,,,,,,,,,,,,,,
CP118073.1,,,erm(B),,,,,,,,,,,,,,,
CP118058.1,,,,,,,,,,,,,,,,,,
NC_018223.1,,,,,,,,,,,,,,,,,,
NC_018222.1,,,erm(B),,,,,,,,,,,,,,,
NC_004671.1,,,,,,,,,,,,,,,,,,
NC_004670.1,,,,,,,,,,,,,,,,,,
NC_004669.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
NZ_MZ603802.1,,,poxtA2,,,,,,,,,,,fexA*,cfr(D)*,,,
NZ_CP091903.1,,,,,,,,,,,,"vanA*,vanH-A,vanR-A,vanS-A,vanX-A,vanY-A*,vanZ-A",,,,,,
NZ_CP091902.1,,,erm(B)*,,,,,,,aac(6')-Ie/aph(2'')-Ia^,,,,,,,,
NZ_CP091891.1,,,erm(B)*,,,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,
NZ_CP091890.1,,,,,,,,,,,,,,,,,,
NZ_CP091896.1,,,,,,,,,,,,,,,,,,
NZ_CP091905.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP091894.1,,,,,,,,,,,,,,,,,,
NZ_CP091893.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP091907.1,,,erm(B),aph(3')-IIIa,sat4,,,,,,,,,,,,,
NZ_CP091885.1,,,,,,,,,,,,,,,,,,
NZ_CP091898.1,,,,,,,,,,,,,,,,,,
NZ_CP091900.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP091888.1,,,,,,,,,,,,,,,,,,
NZ_CP091887.1,,,,,,,,,,,,,,,,,,
NZ_ON960738.1,,,,,,,,,,,,,,,,,,
NZ_CP117507.1,,,poxtA2,,,,,,ant(9)-Ia*,,,,,fexA^,cfr(D)*,,,
NZ_CP117506.1,,,,,,,,,,,,,,,,,,
NZ_CP117505.1,,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,ant(6)-Ia^,,,,aac(6')-Ie/aph(2'')-Ia,dfrG*,,,,,,,
NZ_CP117504.1,,,,,,,,,apmA*,,,,,,,,,
NZ_CP117510.1,,,,,,ant(6)-Ia,,,,,,,,,,,,
NZ_CP117509.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,cfr*,,,
NZ_CP117515.1,,,,,,,,,,,,,,,,,,
NZ_CP117514.1,,,,,,,,,,,,,,,,,,
NZ_CP117513.1,,,erm(B)*,,,,,,,,,,,fexA*,cfr,,,
NZ_CP117512.1,catA*,"tet(L),tet(M)","erm(B)*,erm(B)^",aph(3')-IIIa,sat4,ant(6)-Ia,,,,,dfrG*,,optrA*,fexA*,,,,
NZ_AP025272.1,,,,,,,,,,,,,,,,,,
NZ_AP025271.1,,,,,,,,,,,,,,,,,,
NZ_MK861852.1,catA*,"tet(L)*,tet(M)",poxtA,,,,,,,,,,,,,,,
NZ_KT290268.1,,,,,,,,,,,,,,,,,,
NZ_CP041740.1,,,erm(B),,bleO,,,,,aac(6')-Ie/aph(2'')-Ia,dfrC*,,,,,aadD1,,
NZ_CP041739.1,,,,,,,,,,,,,,,,,,
NZ_CP030046.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP030044.1,,,,,,,,,,,,,,,,,,
NZ_CP030043.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP116966.1,,,,,,,,,,,,,,,,,,
NZ_CP116965.1,,,poxtA2,,,,,,,,,,,fexA^,cfr(D)*,,,
NZ_CP116964.1,,,,,bleO,,,,ant(9)-Ib*,aac(6')-Ie/aph(2'')-Ia*,,,optrA*,fexA*,,aadD1,,
NZ_CP116963.1,,,,,,,,,,,,,,,cfr,,,
NZ_ON960737.1,,"tet(L),tet(M)",erm(B),aph(3')-IIIa,sat4,ant(6)-Ia^,,,,aac(6')-Ie/aph(2'')-Ia*,dfrG,,,,,,,
NZ_MT683614.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_KY513281.1,,"tet(L),tet(M)*",,,,,,,,,,,,,,,,
NZ_KY513280.1,,,,,,,,,,,,,optrA,fexA*,,,,
NZ_KY303941.1,,,,,,,,,,,,,,,,,,
NZ_KY264168.1,,"tet(L),tet(M)",,,,ant(6)-Ia,lnu(B),lsa(E),spw,,,,,,,,,
NZ_KY290886.1,,"tet(L),tet(M)",,,,ant(6)-Ia,lnu(B),lsa(E),spw,,,,,,,,,
NZ_KY270848.1,,,,,,,,,,,,,,,,,,
NZ_KX579977.1,catA*,"tet(L),tet(M)","erm(B),erm(B)*",aph(3')-IIIa,sat4,str,,,,,dfrG*,,optrA*,fexA*,,,,
NZ_KU892126.1,,,,,,,,,,,,,,,,,,
NZ_KT717888.1,,,,,,,,,,,,,,,cfr*,,,
NZ_CP015885.1,,,,,,,,,,,,,,,,,,
NZ_CP015884.1,,,,,,,,,,,,,,,,,,
NZ_CP116565.1,,"tet(L),tet(M)*","erm(B),erm(B)*",aph(3')-IIIa,,,,,,,dfrG,,optrA*,fexA*,,,,
NZ_CP116554.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_CP116570.1,,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_CP116568.1,,,,,,,,,,,,,,,,,,
NZ_CP116567.1,,"tet(L),tet(M)*","erm(B),erm(B)*",aph(3')-IIIa,,,,,,,dfrG,,optrA*,fexA*,,,,
NZ_CP116556.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_CP116563.1,,,,,,,,,,,,,,,,,,
NZ_CP116574.1,,,,,,,,,,,,,,,,,,
NZ_CP116573.1,,,erm(B),,,,,,,aac(6')-Ie/aph(2'')-Ia,,,,,,,,
NZ_CP116572.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_CP116560.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_CP116578.1,,,,,,,,,,,,,,,,,,
NZ_CP116577.1,,,,,,,,,,,,,optrA,fexA*,,,,
NZ_CP116576.1,,,,aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP116558.1,catA*,"tet(L),tet(M)",erm(B),,,,,,,,,,optrA*,fexA*,,,,
NZ_AP026725.1,,,,,,,,,,,,,,,,,,
NZ_AP026723.1,,,erm(B),aph(3')-IIIa,,ant(6)-Ia,,,,,,,,,,,,
NZ_AP026722.1,,,,,,,,,,,,,,,,,,
NZ_CP115995.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,
NZ_CP115994.1,catA*,"tet(L)*,tet(M)",erm(B)*,aph(3')-IIIa,,,,,,,dfrG,,optrA*,fexA*,,,,
NZ_CP115993.1,,,,,,,,,,,,,,,,,,
AP026719.1,,,,,,,,,,,,,,,,,,
AP026730.1,,,,,,,,,,,,,,,,,,
AP026727.1,,,,,,,,,,,,,,,,,,
NZ_CP022487.1,,,,,,,,,,,,,,,,,,
NZ_CP022486.1,,,erm(B)*,,,,,,,,,"vanA,vanH-A,vanR-A,vanS-A*,vanX-A,vanY-A,vanZ-A",,,,,,
NZ_CP022485.1,,,,,,,,,,,,,,,,,,
NZ_CP022484.1,,"tet(L),tet(M)",,,,,,,,,,,,,,,,
NZ_AP018547.1,,,,,,,,,,,,,optrA*,fexA*,,,,
NZ_AP018546.1,,tet(M)*,"erm(B),erm(B)*",,,,,,,aac(6')-Ie/aph(2'')-Ia*,,,,,,,,fosB3
NZ_AP018545.1,,,,,,,,,,,,,,,,,,
NZ_AP018544.1,,,"erm(B),erm(B)*",aph(3')-IIIa,sat4,"ant(6)-Ia,ant(6)-Ia^",lnu(B),lsa(E),spw,,dfrG,,,,,,,
NZ_CP081506.1,,,"erm(B),poxtA",,sat4^,ant(6)-Ia^,lnu(G),,,aac(6')-Ie/aph(2'')-Ia,dfrG*,,optrA*,,,,,
NZ_CP019514.1,,,erm(B),aph(3')-IIIa,sat4,ant(6)-Ia,,,,,,,,,,,,
NZ_CP019513.1,,,,,,,,,,aac(6')-Ie/aph(2'')-Ia,dfrG,,,,,,,
NZ_CP113835.1,,,,,,,,,,,,,,,,,,
