Accession,country,species
GCA_009830735.1,China,efaecalis
GCA_009830765.1,China,efaecalis
GCA_009830775.1,China,efaecalis
GCA_009830815.1,China,efaecalis
GCA_009830835.1,China,efaecalis
GCA_009830855.1,China,efaecalis
GCA_009914685.3,China,efaecalis
GCA_011193375.1,China,efaecalis
GCA_014854875.1,China,efaecalis
GCA_015293385.1,China,efaecalis
GCA_015293445.1,China,efaecalis
GCA_015294025.1,China,efaecalis
GCA_018253765.1,China,efaecalis
GCA_018253815.1,China,efaecalis
GCA_018253835.1,China,efaecalis
GCA_018253895.1,China,efaecalis
GCA_019195415.1,China,efaecalis
GCA_019222705.1,China,efaecalis
GCA_019774535.1,China,efaecalis
GCA_019856595.1,China,efaecalis
GCA_019917325.1,China,efaecalis
GCA_019917335.1,China,efaecalis
GCA_019917405.1,China,efaecalis
GCA_019917435.1,China,efaecalis
GCA_020882115.1,China,efaecalis
GCA_021390315.1,China,efaecalis
GCA_023182655.2,China,efaecalis
GCA_023182675.2,China,efaecalis
GCA_023182695.2,China,efaecalis
GCA_023182715.2,China,efaecalis
GCA_023182735.2,China,efaecalis
GCA_023182755.2,China,efaecalis
GCA_023182775.2,China,efaecalis
GCA_023182795.2,China,efaecalis
GCA_023470065.1,China,efaecalis
GCA_023650735.1,China,efaecalis
GCA_023702145.1,China,efaecalis
GCA_023746575.1,China,efaecalis
GCA_024267595.1,China,efaecalis
GCA_025420395.1,China,efaecalis
GCA_025420435.1,China,efaecalis
GCA_025641915.1,China,efaecalis
GCA_025641945.1,China,efaecalis
GCA_025753025.1,China,efaecalis
GCA_025753415.1,China,efaecalis
GCA_025753475.1,China,efaecalis
GCA_025753535.1,China,efaecalis
GCA_025753545.1,China,efaecalis
GCA_025753635.1,China,efaecalis
GCA_025753675.1,China,efaecalis
GCA_025753735.1,China,efaecalis
GCA_026200775.1,China,efaecalis
GCA_026200815.1,China,efaecalis
GCA_026200925.1,China,efaecalis
GCA_026200965.1,China,efaecalis
GCA_026201015.1,China,efaecalis
GCA_026201025.1,China,efaecalis
GCA_026201115.1,China,efaecalis
GCA_026201125.1,China,efaecalis
GCA_026201175.1,China,efaecalis
GCA_026201235.1,China,efaecalis
GCA_026201295.1,China,efaecalis
GCA_026201315.1,China,efaecalis
GCA_026201325.1,China,efaecalis
GCA_026201375.1,China,efaecalis
GCA_026201435.1,China,efaecalis
GCA_026201475.1,China,efaecalis
GCA_026201555.1,China,efaecalis
GCA_026201565.1,China,efaecalis
GCA_026201595.1,China,efaecalis
GCA_026201615.1,China,efaecalis
GCA_026201675.1,China,efaecalis
GCA_026201725.1,China,efaecalis
GCA_026201835.1,China,efaecalis
GCA_026201895.1,China,efaecalis
GCA_026201915.1,China,efaecalis
GCA_026201995.1,China,efaecalis
GCA_026202015.1,China,efaecalis
GCA_026202225.1,China,efaecalis
GCA_026202285.1,China,efaecalis
GCA_026202315.1,China,efaecalis
GCA_026202335.1,China,efaecalis
GCA_026202355.1,China,efaecalis
GCA_026202415.1,China,efaecalis
GCA_026202435.1,China,efaecalis
GCA_026202575.1,China,efaecalis
GCA_026202615.1,China,efaecalis
GCA_026202695.1,China,efaecalis
GCA_026202715.1,China,efaecalis
GCA_026202725.1,China,efaecalis
GCA_026202775.1,China,efaecalis
GCA_026202785.1,China,efaecalis
GCA_026202855.1,China,efaecalis
GCA_026202895.1,China,efaecalis
GCA_026203135.1,China,efaecalis
GCA_026203165.1,China,efaecalis
GCA_026203255.1,China,efaecalis
GCA_026203495.1,China,efaecalis
GCA_026203575.1,China,efaecalis
GCA_026203635.1,China,efaecalis
GCA_026203735.1,China,efaecalis
GCA_026203815.1,China,efaecalis
GCA_026203935.1,China,efaecalis
GCA_026204095.1,China,efaecalis
GCA_026802365.1,China,efaecalis
GCA_026802385.1,China,efaecalis
GCA_027942035.1,China,efaecalis
GCA_028532705.1,China,efaecalis
GCA_028621735.1,China,efaecalis
GCA_028621755.1,China,efaecalis
GCA_028621775.1,China,efaecalis
GCA_029000425.1,China,efaecalis
GCA_029732835.1,China,efaecalis
GCA_029732845.1,China,efaecalis
GCA_029733095.1,China,efaecalis
GCA_029733115.1,China,efaecalis
GCA_029733225.1,China,efaecalis
GCA_029733325.1,China,efaecalis
GCA_029733475.1,China,efaecalis
GCA_029734075.1,China,efaecalis
GCA_029734175.1,China,efaecalis
GCA_029734275.1,China,efaecalis
GCA_029734425.1,China,efaecalis
GCA_030064715.1,China,efaecalis
GCA_030110795.1,China,efaecalis
GCA_030110845.1,China,efaecalis
GCA_030110865.1,China,efaecalis
GCA_030116755.1,China,efaecalis
GCA_030116805.1,China,efaecalis
GCA_030116835.1,China,efaecalis
GCA_030178595.1,China,efaecalis
GCA_030178615.1,China,efaecalis
GCA_030178655.1,China,efaecalis
GCA_030178675.1,China,efaecalis
GCA_030178755.1,China,efaecalis
GCA_030178775.1,China,efaecalis
GCA_030178795.1,China,efaecalis
GCA_030178805.1,China,efaecalis
GCA_030178835.1,China,efaecalis
GCA_030178895.1,China,efaecalis
GCA_030178915.1,China,efaecalis
GCA_030178955.1,China,efaecalis
GCA_030178965.1,China,efaecalis
GCA_030178995.1,China,efaecalis
GCA_030364505.1,China,efaecalis
GCA_030364555.1,China,efaecalis
GCA_030364575.1,China,efaecalis
GCA_030364595.1,China,efaecalis
GCA_030364615.1,China,efaecalis
GCA_030364645.1,China,efaecalis
GCF_003962325.1,China,efaecalis
GCF_003962375.1,China,efaecalis
GCF_003962645.1,China,efaecalis
GCF_004103105.1,China,efaecalis
GCF_005979285.1,China,efaecalis
GCF_005979305.1,China,efaecalis
GCF_019731615.1,China,efaecalis
GCF_022427325.1,China,efaecalis
GCF_022427745.1,China,efaecalis
GCF_022758225.1,China,efaecalis
GCF_029866805.1,China,efaecalis
SRR10387870,China,efaecalis
SRR10387871,China,efaecalis
SRR10387876,China,efaecalis
SRR10387877,China,efaecalis
SRR10387878,China,efaecalis
SRR10387879,China,efaecalis
SRR13587488,China,efaecalis
SRR13587489,China,efaecalis
SRR13587490,China,efaecalis
SRR13587491,China,efaecalis
SRR13587493,China,efaecalis
SRR13587494,China,efaecalis
SRR13587495,China,efaecalis
SRR13587496,China,efaecalis
SRR13587498,China,efaecalis
SRR13587499,China,efaecalis
SRR13587500,China,efaecalis
SRR13587501,China,efaecalis
SRR23460006,China,efaecalis
SRR23460007,China,efaecalis
SRR23460008,China,efaecalis
SRR23460009,China,efaecalis
SRR23460010,China,efaecalis
SRR23460011,China,efaecalis
SRR5407742,China,efaecalis
GCA_002250145.1,Colombia,efaecalis
GCA_009498175.3,Colombia,efaecalis
GCA_015315065.1,Colombia,efaecalis
GCA_015315105.1,Colombia,efaecalis
GCA_018087365.1,Colombia,efaecalis
GCF_013523155.1,Colombia,efaecalis
GCA_015958805.1,Denmark,efaecalis
GCF_002973735.1,France,efaecalis
GCF_002973775.1,France,efaecalis
GCF_025482015.1,France,efaecalis
GCF_025482075.1,France,efaecalis
GCF_025482095.1,France,efaecalis
GCF_025482215.1,France,efaecalis
GCF_025482255.1,France,efaecalis
GCF_025482405.1,France,efaecalis
GCF_025482435.1,France,efaecalis
GCF_025482455.1,France,efaecalis
GCF_025482495.1,France,efaecalis
GCF_025482555.1,France,efaecalis
GCF_025482575.1,France,efaecalis
GCF_025482595.1,France,efaecalis
GCF_025482635.1,France,efaecalis
GCF_025482655.1,France,efaecalis
GCF_025482675.1,France,efaecalis
GCF_025482695.1,France,efaecalis
GCF_025482715.1,France,efaecalis
GCF_025482725.1,France,efaecalis
GCF_025482785.1,France,efaecalis
SRR6456332,Germany,efaecalis
SRR6456333,Germany,efaecalis
SRR6456335,Germany,efaecalis
SRR6456339,Germany,efaecalis
SRR6456340,Germany,efaecalis
SRR6456346,Germany,efaecalis
SRR6456347,Germany,efaecalis
SRR6456348,Germany,efaecalis
SRR6456349,Germany,efaecalis
SRR6456351,Germany,efaecalis
SRR7658823,Germany,efaecalis
SRR7658824,Germany,efaecalis
GCA_016917995.1,Italy,efaecalis
GCA_024160685.1,Italy,efaecalis
GCA_024160765.1,Italy,efaecalis
DRR126419,Japan,efaecalis
DRR400396,Japan,efaecalis
GCA_030270285.1,Japan,efaecalis
GCA_030270305.1,Japan,efaecalis
GCA_030270325.1,Japan,efaecalis
GCA_030295805.1,Japan,efaecalis
GCF_014325425.1,Lebanon,efaecalis
GCA_001806515.1,Malaysia,efaecalis
GCA_002009465.1,Malaysia,efaecalis
GCA_002009545.1,Malaysia,efaecalis
GCA_002009565.1,Malaysia,efaecalis
SRR19309658,Malaysia,efaecalis
GCA_019164975.1,Pakistan,efaecalis
GCA_019352735.1,Portugal,efaecalis
GCA_019352775.1,Portugal,efaecalis
GCA_019352795.1,Portugal,efaecalis
GCA_019352805.1,Portugal,efaecalis
GCA_019352835.1,Portugal,efaecalis
GCA_019352855.1,Portugal,efaecalis
GCA_029375915.1,Portugal,efaecalis
GCA_029378775.1,Portugal,efaecalis
GCA_029378785.1,Portugal,efaecalis
GCF_020405635.1,Russia,efaecalis
SRR9021436,South Africa,efaecalis
GCA_014212115.1,South Korea,efaecalis
GCA_014212215.1,South Korea,efaecalis
GCA_014212225.1,South Korea,efaecalis
GCA_020616775.1,South Korea,efaecalis
GCA_020616935.1,South Korea,efaecalis
GCA_024579755.1,South Korea,efaecalis
GCA_024579795.1,South Korea,efaecalis
GCF_019350975.1,South Korea,efaecalis
GCF_030339965.1,South Korea,efaecalis
GCF_030339995.1,South Korea,efaecalis
GCF_030340065.1,South Korea,efaecalis
GCF_030340205.1,South Korea,efaecalis
GCF_030340245.1,South Korea,efaecalis
GCF_030340285.1,South Korea,efaecalis
GCF_030340325.1,South Korea,efaecalis
GCF_030340345.1,South Korea,efaecalis
GCF_030340485.1,South Korea,efaecalis
GCF_030340565.1,South Korea,efaecalis
GCF_030340605.1,South Korea,efaecalis
GCA_015292605.1,Spain,efaecalis
GCA_015293145.1,Spain,efaecalis
GCA_015294225.1,Spain,efaecalis
GCF_024339425.1,Spain,efaecalis
GCF_024339435.1,Spain,efaecalis
GCF_024339445.1,Spain,efaecalis
GCA_015234285.1,Switzerland,efaecalis
GCA_019201565.1,Switzerland,efaecalis
GCA_019201575.1,Switzerland,efaecalis
GCA_019201635.1,Switzerland,efaecalis
GCA_002220885.1,Tunisia,efaecalis
GCA_004168065.1,Tunisia,efaecalis
GCA_004168075.1,Tunisia,efaecalis
GCA_004168115.1,Tunisia,efaecalis
GCA_024483145.1,United Arab Emirates,efaecalis
GCA_024483525.1,United Arab Emirates,efaecalis
GCA_024487665.1,United Arab Emirates,efaecalis
GCA_024487685.1,United Arab Emirates,efaecalis
GCA_024487705.1,United Arab Emirates,efaecalis
GCA_024531085.1,United Arab Emirates,efaecalis
GCA_024535035.1,United Arab Emirates,efaecalis
GCA_024540495.1,United Arab Emirates,efaecalis
GCF_902161825.1,United Kingdom,efaecalis
GCF_906464835.1,United Kingdom,efaecalis
GCF_906464865.1,United Kingdom,efaecalis
GCF_906464875.1,United Kingdom,efaecalis
GCF_906464915.2,United Kingdom,efaecalis
GCF_906464925.1,United Kingdom,efaecalis
GCA_004332015.1,USA,efaecalis
GCA_004332035.1,USA,efaecalis
GCA_015292825.1,USA,efaecalis
GCA_015300025.1,USA,efaecalis
GCA_015300605.1,USA,efaecalis
GCA_015315485.1,USA,efaecalis
GCA_015690905.1,USA,efaecalis
GCA_015919065.1,USA,efaecalis
GCA_015920145.1,USA,efaecalis
GCA_016636325.1,USA,efaecalis
GCA_016993575.1,USA,efaecalis
GCA_017286715.1,USA,efaecalis
GCA_018222085.1,USA,efaecalis
GCA_019340345.1,USA,efaecalis
GCA_022935985.1,USA,efaecalis
GCA_025776135.1,USA,efaecalis
GCA_027846135.1,USA,efaecalis
GCA_029730355.1,USA,efaecalis
SRR10276527,Australia,efaecium
GCA_021124165.1,Belgium,efaecium
GCA_021124315.1,Belgium,efaecium
GCA_021124445.1,Belgium,efaecium
GCA_021311015.1,Belgium,efaecium
GCA_021311095.1,Belgium,efaecium
GCA_021560195.1,Belgium,efaecium
GCA_023182815.2,Belgium,efaecium
GCA_023182835.2,Belgium,efaecium
GCA_023299805.1,Belgium,efaecium
GCA_025476665.1,Belgium,efaecium
GCA_025476955.1,Belgium,efaecium
GCA_025477335.1,Belgium,efaecium
GCA_025477655.1,Belgium,efaecium
GCA_025477735.1,Belgium,efaecium
GCA_025477835.1,Belgium,efaecium
GCA_025477945.1,Belgium,efaecium
GCA_025481835.1,Belgium,efaecium
GCA_025481845.1,Belgium,efaecium
GCA_025515395.1,Belgium,efaecium
GCA_025629065.1,Belgium,efaecium
GCA_025641905.1,Belgium,efaecium
SRR13080468,Belgium,efaecium
SRR21102110,Belgium,efaecium
SRR21102115,Belgium,efaecium
SRR21102125,Belgium,efaecium
SRR21102131,Belgium,efaecium
SRR23047325,Belgium,efaecium
GCA_021122785.1,Canada,efaecium
SRR14024975,Canada,efaecium
SRR14024978,Canada,efaecium
SRR14024984,Canada,efaecium
SRR14024990,Canada,efaecium
SRR14026497,Canada,efaecium
SRR14026508,Canada,efaecium
SRR14026532,Canada,efaecium
SRR14889759,Canada,efaecium
SRR19369843,Canada,efaecium
SRR21102107,Canada,efaecium
GCA_017815695.1,China,efaecium
GCA_019175525.1,China,efaecium
GCA_019356355.1,China,efaecium
GCA_021122225.1,China,efaecium
GCA_021123005.1,China,efaecium
GCA_021123545.1,China,efaecium
GCA_021124145.1,China,efaecium
GCA_025753015.1,China,efaecium
GCA_025753055.1,China,efaecium
GCA_025753095.1,China,efaecium
GCA_025753135.1,China,efaecium
GCA_025753145.1,China,efaecium
GCA_025753175.1,China,efaecium
GCA_025753195.1,China,efaecium
GCA_025753215.1,China,efaecium
GCA_025753255.1,China,efaecium
GCA_025753345.1,China,efaecium
GCA_025753575.1,China,efaecium
GCA_025753655.1,China,efaecium
GCA_025753745.1,China,efaecium
GCA_025800545.1,China,efaecium
GCA_025800625.1,China,efaecium
GCA_025847735.1,China,efaecium
GCA_025913595.1,China,efaecium
GCA_025916235.1,China,efaecium
GCA_025953925.1,China,efaecium
GCA_025953965.1,China,efaecium
GCA_026202455.1,China,efaecium
GCA_026203285.1,China,efaecium
GCA_026203655.1,China,efaecium
GCA_026203855.1,China,efaecium
GCA_026204135.1,China,efaecium
GCA_026204185.1,China,efaecium
GCA_027944535.1,China,efaecium
GCA_028784175.1,China,efaecium
GCA_028891525.1,China,efaecium
GCA_030064735.1,China,efaecium
GCA_030179055.1,China,efaecium
GCA_030179115.1,China,efaecium
GCA_030179135.1,China,efaecium
GCA_030179235.1,China,efaecium
GCA_030179275.1,China,efaecium
GCA_030179285.1,China,efaecium
GCA_030179335.1,China,efaecium
GCA_030179375.1,China,efaecium
GCA_030179465.1,China,efaecium
GCA_030179505.1,China,efaecium
GCA_030340025.1,China,efaecium
GCA_030340045.1,China,efaecium
GCA_021122265.1,Denmark,efaecium
GCA_021122825.1,Denmark,efaecium
SRR14024963,Denmark,efaecium
GCA_002973675.1,France,efaecium
GCA_012932975.2,France,efaecium
GCA_012933185.1,France,efaecium
GCA_015642685.1,France,efaecium
GCA_016743855.1,France,efaecium
GCA_019175425.1,France,efaecium
GCA_019175445.1,France,efaecium
GCA_019992745.1,France,efaecium
GCA_019992785.1,France,efaecium
GCA_021121175.1,France,efaecium
GCA_021121205.1,France,efaecium
GCA_021122155.1,France,efaecium
GCA_004103165.1,Germany,efaecium
GCA_002973715.1,India,efaecium
GCA_002973755.2,India,efaecium
GCA_004332055.1,India,efaecium
GCA_013326905.1,India,efaecium
GCA_015361995.1,India,efaecium
GCA_018517065.1,India,efaecium
GCA_018517085.1,India,efaecium
SRR13902732,India,efaecium
SRR13902733,India,efaecium
SRR14024974,India,efaecium
SRR10094574,Pakistan,efaecium
SRR10094578,Pakistan,efaecium
SRR10094580,Pakistan,efaecium
SRR10094581,Pakistan,efaecium
SRR10094582,Pakistan,efaecium
SRR10094586,Pakistan,efaecium
SRR10094597,Pakistan,efaecium
SRR10094598,Pakistan,efaecium
SRR10094599,Pakistan,efaecium
SRR10094600,Pakistan,efaecium
SRR10094601,Pakistan,efaecium
SRR10094602,Pakistan,efaecium
SRR10094603,Pakistan,efaecium
SRR10094604,Pakistan,efaecium
SRR10094605,Pakistan,efaecium
SRR10094607,Pakistan,efaecium
SRR10094609,Pakistan,efaecium
SRR10094612,Pakistan,efaecium
SRR10094613,Pakistan,efaecium
SRR10094619,Pakistan,efaecium
SRR10094620,Pakistan,efaecium
SRR10094621,Pakistan,efaecium
GCA_005517315.1,Reunion,efaecium
GCA_005576735.1,Reunion,efaecium
GCA_019731315.1,Reunion,efaecium
GCA_021121485.1,Reunion,efaecium
GCA_021122345.1,South Korea,efaecium
GCA_021122385.1,South Korea,efaecium
GCA_025753115.1,South Korea,efaecium
GCA_021123075.1,Switzerland,efaecium
GCA_021123205.1,Switzerland,efaecium
GCA_021123525.1,Switzerland,efaecium
SRR14024972,Thailand,efaecium
GCA_021122445.1,USA,efaecium
GCA_021122645.1,,efaecium
