ID,country,continent,year,sample_type,ST,lzd_genotype,mlplasmids_prediction,predicted_optrA_context,Tn6674_variant
GCA_021122845.1,Belgium,Europe,2019,,943,optrA,Plasmid,fexA-optrA-ermA,
GCA_021122865.1,Belgium,Europe,2019,,409,"cfr(D), optrA",Chromosome,Tn6674,WT
GCA_021122885.1,Belgium,Europe,2019,,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_021122905.1,Belgium,Europe,2019,,40,optrA,Chromosome,Tn6674,WT
GCA_021122925.1,Belgium,Europe,2019,,133,optrA,Chromosome,Tn6674,WT
GCA_021122965.1,Belgium,Europe,2019,,207,optrA,Plasmid,fexA-optrA,
GCA_021123045.1,Belgium,Europe,2019,,59,optrA,Chromosome,Tn6674,WT
GCA_021123105.1,Belgium,Europe,2019,,234,optrA,Plasmid,fexA-optrA,
GCA_021123115.1,Belgium,Europe,2019,,241,"cfr(D), optrA",Plasmid,fexA-optrA,
GCA_021123325.1,Belgium,Europe,2019,,55,optrA,Chromosome,fexA-optrA,
GCA_021123365.1,Belgium,Europe,2019,,49,optrA,Chromosome,fexA-optrA,
GCA_021123425.1,Belgium,Europe,2019,,23,optrA,Chromosome,Tn6674,WT
GCA_021123435.1,Belgium,Europe,2019,,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_021123445.1,Belgium,Europe,2019,,16,optrA,Chromosome,,
GCA_021123485.1,Belgium,Europe,2019,,21,optrA,Chromosome,fexA-optrA,
GCA_021123565.1,Belgium,Europe,2019,,108,"optrA, poxtA",Plasmid,fexA-optrA,
GCA_021123775.1,Belgium,Europe,2019,,-,optrA,Chromosome,Tn6674,
GCA_021123845.1,Belgium,Europe,2019,,476,optrA,Chromosome,Tn6674,truncated
GCA_021124025.1,Belgium,Europe,2019,,-,optrA,Chromosome,,
GCA_021124125.1,Belgium,Europe,2019,,288,optrA,Plasmid,fexA-optrA-ermA,
GCA_021124225.1,Belgium,Europe,2019,,16,optrA,Plasmid,fexA-optrA,
GCA_021124235.1,Belgium,Europe,2019,,-,"cfr, optrA",Chromosome,,
GCA_021124285.1,Belgium,Europe,2019,,40,optrA,Chromosome,,
GCA_021124385.1,Belgium,Europe,2019,,21,optrA,Plasmid,fexA-optrA,
GCA_021124405.1,Belgium,Europe,2019,,-,optrA,Plasmid,fexA-optrA,
GCA_021124485.1,Belgium,Europe,2019,,25,optrA,Chromosome,Tn6674,WT
GCA_021124585.1,Belgium,Europe,2019,,-,"optrA, poxtA",Chromosome,,
GCA_021124605.1,Belgium,Europe,2019,,-,"optrA, poxtA",Chromosome,,
GCA_021390315.1,China,Asia,2021,,8,"cfr(D), optrA",Chromosome,fexA-optrA,
GCA_022935985.1,USA,North America,2022,animal,585,optrA,Chromosome,,
GCA_023182655.2,China,Asia,2018,animal,116,optrA,Plasmid,fexA-optrA-ermA,
GCA_023182675.2,China,Asia,2018,animal,476,optrA,Plasmid,fexA-optrA-ermA,
GCA_023182695.2,China,Asia,2018,animal,16,optrA,Plasmid,fexA-optrA-ermA,
GCA_023182715.2,China,Asia,2018,animal,16,optrA,Plasmid,fexA-optrA-ermA,
GCA_023182735.2,China,Asia,2018,animal,-,optrA,Plasmid,fexA-optrA-ermA,
GCA_023182755.2,China,Asia,2018,animal,59,optrA,Plasmid,fexA-optrA-ermA,
GCA_023182775.2,China,Asia,2018,animal,-,optrA,Plasmid,,
GCA_023182795.2,China,Asia,2018,animal,-,optrA,Plasmid,fexA-optrA-ermA,
GCA_023299225.1,,,2021,others,593,"cfr(D), optrA",Chromosome,,
GCA_023299425.1,,,2022,others,474,optrA,Chromosome,Tn6674,truncated
GCA_023299465.1,,,2022,others,-,optrA,Plasmid,,
GCA_023299485.1,,,2022,others,-,"cfr, optrA",Chromosome,,
GCA_023299505.1,,,2022,others,16,"cfr(D), optrA",Plasmid,,
GCA_023299525.1,,,2022,others,369,optrA,Chromosome,Tn6674,truncated
GCA_023299545.1,,,2022,others,593,optrA,Chromosome,,
GCA_023299585.1,,,2022,others,476,optrA,Chromosome,Tn6674,truncated
GCA_023299645.1,,,2022,others,256,optrA,Plasmid,fexA-optrA-ermA,
GCA_023299685.1,,,2022,others,-,optrA,Chromosome,,
GCA_023299705.1,,,2022,others,376,optrA,Plasmid,,
GCA_023299785.1,,,2022,others,207,optrA,Chromosome,,
GCA_023300025.1,,,2022,others,631,optrA,Chromosome,Tn6674,WT
GCA_023375245.1,,,2021,animal,376,optrA,Plasmid,,
GCA_023470065.1,China,Asia,2018,animal,-,optrA,Chromosome,Tn6674,WT
GCA_023650735.1,China,Asia,2021,animal,256,"cfr, cfr(D), optrA",Chromosome,Tn6674,
GCA_023702145.1,China,Asia,2021,animal,256,"cfr(D), optrA",Chromosome,Tn6674,truncated
GCA_023746575.1,China,Asia,2021,animal,368,optrA,Plasmid,fexA-optrA-ermA,
GCA_024160685.1,Italy,Europe,2020,animal,476,optrA,Chromosome,Tn6674,truncated
GCA_024160765.1,Italy,Europe,2020,animal,476,optrA,Chromosome,fexA-optrA-ermA,
GCA_024267595.1,China,Asia,2022,,843,optrA,Chromosome,Tn6674,WT
GCA_024483145.1,United Arab Emirates,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_024483525.1,United Arab Emirates,Asia,2021,animal,314,optrA,Plasmid,fexA-optrA-ermA,
GCA_024487665.1,United Arab Emirates,Asia,2021,animal,476,optrA,Chromosome,fexA-optrA,
GCA_024487685.1,United Arab Emirates,Asia,2021,animal,-,optrA,Chromosome,,
GCA_024487705.1,United Arab Emirates,Asia,2021,animal,476,optrA,Chromosome,Tn6674,truncated
GCA_024531085.1,United Arab Emirates,Asia,2021,animal,-,optrA,Chromosome,,
GCA_024535035.1,United Arab Emirates,Asia,2021,animal,476,optrA,Chromosome,Tn6674,truncated
GCA_024540495.1,United Arab Emirates,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_024579755.1,South Korea,Asia,2020,animal,476,"cfr(D), optrA",Chromosome,Tn6674,
GCA_024579795.1,South Korea,Asia,2020,animal,100,"cfr(D), optrA",Plasmid,Tn6674,
GCA_025420395.1,China,Asia,2018,environment,480,optrA,Chromosome,Tn6674,WT
GCA_025420435.1,China,Asia,2018,environment,480,optrA,Chromosome,Tn6674,WT
GCA_025641915.1,China,Asia,2018,animal,-,optrA,Chromosome,Tn6674,WT
GCA_025641945.1,China,Asia,2018,animal,86,optrA,Chromosome,Tn6674,WT
GCA_025753025.1,China,Asia,2020,animal,970,optrA,Chromosome,fexA-optrA-ermA,
GCA_025753415.1,China,Asia,2018,animal,21,optrA,Chromosome,fexA-optrA-ermA,
GCA_025753475.1,China,Asia,2019,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_025753535.1,China,Asia,2019,animal,476,optrA,Chromosome,Tn6674,WT
GCA_025753545.1,China,Asia,2019,animal,16,optrA,Chromosome,Tn6674,WT
GCA_025753635.1,China,Asia,2020,animal,86,optrA,Chromosome,fexA-optrA-ermA,
GCA_025753675.1,China,Asia,2020,animal,714,optrA,Chromosome,fexA-optrA-ermA,
GCA_025753735.1,China,Asia,2020,animal,714,optrA,Chromosome,,
GCA_025776135.1,USA,North America,2022,animal,96,optrA,Plasmid,fexA-optrA-ermA,
GCA_025972265.1,Australia,Oceania,2016,clinical,256,optrA,Plasmid,fexA-optrA-ermA,
GCA_026200775.1,China,Asia,2021,animal,314,optrA,Chromosome,fexA-optrA-ermA,
GCA_026200815.1,China,Asia,2021,animal,480,optrA,Chromosome,fexA-optrA-ermA,
GCA_026200925.1,China,Asia,2021,animal,506,optrA,Chromosome,fexA-optrA-ermA,
GCA_026200965.1,China,Asia,2021,animal,86,optrA,Chromosome,Tn6674,WT
GCA_026201015.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201025.1,China,Asia,2021,animal,476,optrA,Chromosome,Tn6674,WT
GCA_026201115.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201125.1,China,Asia,2021,animal,16,optrA,Plasmid,fexA-optrA-ermA,
GCA_026201175.1,China,Asia,2021,animal,632,optrA,Plasmid,fexA-optrA-ermA,
GCA_026201235.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201295.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201315.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201325.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201375.1,China,Asia,2021,animal,631,optrA,Chromosome,Tn6674,WT
GCA_026201435.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201475.1,China,Asia,2021,animal,59,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201555.1,China,Asia,2021,animal,21,optrA,Chromosome,,
GCA_026201565.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201595.1,China,Asia,2021,animal,21,optrA,Chromosome,Tn6674,WT
GCA_026201615.1,China,Asia,2021,animal,868,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201675.1,China,Asia,2021,animal,444,optrA,Chromosome,Tn6674,WT
GCA_026201725.1,China,Asia,2021,animal,19,optrA,Chromosome,fexA-optrA-ermA,
GCA_026201835.1,China,Asia,2021,animal,982,optrA,Chromosome,Tn6674,WT
GCA_026201895.1,China,Asia,2021,animal,21,optrA,Chromosome,Tn6674,WT
GCA_026201915.1,China,Asia,2021,animal,256,"cfr(D), optrA",Chromosome,,
GCA_026201995.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026202015.1,China,Asia,2021,animal,-,"cfr(D), optrA",Chromosome,,
GCA_026202225.1,China,Asia,2021,animal,634,optrA,Chromosome,fexA-optrA-ermA,
GCA_026202285.1,China,Asia,2021,animal,-,optrA,Chromosome,Tn6674,WT
GCA_026202315.1,China,Asia,2021,animal,-,optrA,Chromosome,Tn6674,WT
GCA_026202335.1,China,Asia,2021,animal,21,optrA,Chromosome,Tn6674,WT
GCA_026202355.1,China,Asia,2021,animal,21,optrA,Chromosome,Tn6674,WT
GCA_026202415.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026202435.1,China,Asia,2021,animal,634,optrA,Plasmid,fexA-optrA,
GCA_026202575.1,China,Asia,2021,animal,632,optrA,Chromosome,fexA-optrA-ermA,
GCA_026202615.1,China,Asia,2021,animal,-,optrA,Chromosome,Tn6674,WT
GCA_026202695.1,China,Asia,2021,animal,21,optrA,Chromosome,Tn6674,WT
GCA_026202715.1,China,Asia,2021,animal,-,optrA,Chromosome,Tn6674,WT
GCA_026202725.1,China,Asia,2021,animal,21,optrA,Chromosome,Tn6674,WT
GCA_026202775.1,China,Asia,2021,animal,-,optrA,Chromosome,Tn6674,WT
GCA_026202785.1,China,Asia,2021,animal,-,optrA,Chromosome,Tn6674,WT
GCA_026202855.1,China,Asia,2021,animal,227,optrA,Chromosome,fexA-optrA-ermA,
GCA_026202895.1,China,Asia,2021,animal,868,optrA,Chromosome,fexA-optrA-ermA,
GCA_026203135.1,China,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_026203165.1,China,Asia,2021,animal,-,"cfr(D), optrA",Chromosome,,
GCA_026203255.1,China,Asia,2021,animal,902,optrA,Plasmid,fexA-optrA-ermA,
GCA_026203495.1,China,Asia,2021,animal,632,optrA,Plasmid,fexA-optrA-ermA,
GCA_026203575.1,China,Asia,2021,animal,227,optrA,Plasmid,Tn6674,
GCA_026203635.1,China,Asia,2021,animal,632,optrA,Plasmid,fexA-optrA-ermA,
GCA_026203735.1,China,Asia,2021,animal,632,optrA,Plasmid,fexA-optrA-ermA,
GCA_026203815.1,China,Asia,2021,animal,632,optrA,Plasmid,fexA-optrA-ermA,
GCA_026203935.1,China,Asia,2021,animal,535,optrA,Chromosome,fexA-optrA-ermA,
GCA_026204095.1,China,Asia,2021,animal,591,optrA,Chromosome,,
GCA_026802365.1,China,Asia,2021,animal,81,optrA,Plasmid,fexA-optrA-ermA,
GCA_026802385.1,China,Asia,2021,animal,631,optrA,Chromosome,Tn6674,WT
GCA_027846135.1,USA,North America,2022,animal,480,optrA,Chromosome,fexA-optrA,
GCA_027942035.1,China,Asia,2018,,314,optrA,Plasmid,fexA-optrA-ermA,
GCA_028200655.1,,,2021,,-,optrA,Chromosome,Tn6674,WT
GCA_028200665.1,,,2021,,-,optrA,Chromosome,Tn6674,WT
GCA_028200685.1,,,2021,,-,optrA,Chromosome,Tn6674,WT
GCA_028200755.1,,,2021,,593,optrA,Chromosome,,
GCA_028335305.1,,,2021,animal,234,optrA,Plasmid,fexA-optrA,
GCA_028335345.1,,,2021,animal,25,optrA,Plasmid,,
GCA_028335425.1,,,2021,animal,376,optrA,Plasmid,,
GCA_028335545.1,,,2021,animal,314,optrA,Plasmid,fexA-optrA-ermA,
GCA_028335705.1,,,2021,animal,19,optrA,Plasmid,fexA-optrA,
GCA_028532705.1,China,Asia,2021,animal,-,"cfr, cfr(D), optrA",Plasmid,fexA-optrA-ermA,
GCA_028621735.1,China,Asia,2021,animal,21,"cfr, optrA",Chromosome,Tn6674,
GCA_028621755.1,China,Asia,2021,animal,256,"cfr(D), optrA",Chromosome,Tn6674,truncated
GCA_028621775.1,China,Asia,2021,animal,239,"cfr, optrA",Plasmid,fexA-optrA-ermA,
GCA_029000425.1,China,Asia,2021,environment,506,optrA,Plasmid,fexA-optrA-ermA,
GCA_029375915.1,Portugal,Europe,2017,animal,207,optrA,Plasmid,fexA-optrA-ermA,
GCA_029378775.1,Portugal,Europe,2017,animal,-,optrA,Chromosome,,
GCA_029378785.1,Portugal,Europe,2017,animal,-,optrA,Plasmid,fexA-optrA-ermA,
GCA_029730355.1,USA,North America,2023,animal,330,optrA,Chromosome,fexA-optrA-ermA,
GCA_029732835.1,China,Asia,2019,animal,368,optrA,Chromosome,fexA-optrA-ermA,
GCA_029732845.1,China,Asia,2019,animal,631,optrA,Chromosome,Tn6674,WT
GCA_029733095.1,China,Asia,2019,animal,81,optrA,Chromosome,fexA-optrA-ermA,
GCA_029733115.1,China,Asia,2019,animal,-,optrA,Chromosome,Tn6674,WT
GCA_029733225.1,China,Asia,2019,animal,-,optrA,Chromosome,Tn6674,WT
GCA_029733325.1,China,Asia,2019,animal,-,optrA,Chromosome,Tn6674,WT
GCA_029733475.1,China,Asia,2019,animal,-,optrA,Chromosome,Tn6674,WT
GCA_029734075.1,China,Asia,2019,animal,-,optrA,Chromosome,Tn6674,WT
GCA_029734175.1,China,Asia,2019,animal,241,optrA,Plasmid,fexA-optrA-ermA,
GCA_029734275.1,China,Asia,2019,animal,-,optrA,Chromosome,Tn6674,WT
GCA_029734425.1,China,Asia,2019,animal,-,optrA,Chromosome,Tn6674,truncated
GCA_030064715.1,China,Asia,2019,animal,-,optrA,Plasmid,fexA-optrA-ermA,
GCA_030110795.1,China,Asia,2019,animal,714,optrA,Chromosome,fexA-optrA-ermA,
GCA_030110845.1,China,Asia,2019,animal,-,optrA,Chromosome,Tn6674,truncated
GCA_030110865.1,China,Asia,2019,animal,480,optrA,Chromosome,fexA-optrA-ermA,
GCA_030116755.1,China,Asia,2019,animal,-,optrA,Chromosome,,
GCA_030116805.1,China,Asia,2019,animal,19,optrA,Chromosome,Tn6674,WT
GCA_030116835.1,China,Asia,2019,animal,972,optrA,Chromosome,fexA-optrA-ermA,
GCA_030178595.1,China,Asia,2019,animal,86,optrA,Chromosome,Tn6674,WT
GCA_030178615.1,China,Asia,2019,animal,535,optrA,Chromosome,fexA-optrA-ermA,
GCA_030178655.1,China,Asia,2019,animal,476,optrA,Chromosome,Tn6674,WT
GCA_030178675.1,China,Asia,2019,animal,476,optrA,Chromosome,Tn6674,WT
GCA_030178755.1,China,Asia,2019,animal,476,optrA,Chromosome,Tn6674,WT
GCA_030178775.1,China,Asia,2019,animal,59,optrA,Chromosome,fexA-optrA-ermA,
GCA_030178795.1,China,Asia,2019,animal,538,optrA,Chromosome,fexA-optrA-ermA,
GCA_030178805.1,China,Asia,2019,animal,386,optrA,Chromosome,fexA-optrA-ermA,
GCA_030178835.1,China,Asia,2019,animal,476,optrA,Chromosome,Tn6674,WT
GCA_030178895.1,China,Asia,2019,animal,403,optrA,Plasmid,fexA-optrA-ermA,
GCA_030178915.1,China,Asia,2019,animal,585,optrA,Plasmid,fexA-optrA,
GCA_030178955.1,China,Asia,2019,animal,403,optrA,Chromosome,,
GCA_030178965.1,China,Asia,2019,animal,403,optrA,Chromosome,,
GCA_030178995.1,China,Asia,2019,animal,403,optrA,Chromosome,,
GCA_030270285.1,Japan,Asia,2021,animal,655,optrA,Chromosome,fexA-optrA-ermA,
GCA_030270305.1,Japan,Asia,2021,animal,477,optrA,Chromosome,,
GCA_030270325.1,Japan,Asia,2021,animal,593,optrA,Chromosome,,
GCA_030295805.1,Japan,Asia,2021,animal,-,optrA,Chromosome,fexA-optrA-ermA,
GCA_030364505.1,China,Asia,2016,others,474,optrA,Chromosome,,
GCA_030364555.1,China,Asia,2016,others,910,optrA,Chromosome,fexA-optrA-ermA,
GCA_030364575.1,China,Asia,2016,others,632,optrA,Chromosome,fexA-optrA-ermA,
GCA_030364595.1,China,Asia,2016,others,476,optrA,Chromosome,,
GCA_030364615.1,China,Asia,2016,others,535,optrA,Chromosome,fexA-optrA-ermA,
GCA_030364645.1,China,Asia,2016,others,538,optrA,Plasmid,,
GCF_002973735.1,France,Europe,2016,clinical,480,optrA,Chromosome,Tn6674,truncated
GCF_002973775.1,France,Europe,2016,clinical,480,optrA,Chromosome,,
GCF_003962325.1,China,Asia,2015,clinical,16,optrA,Chromosome,Tn6674,WT
GCF_003962375.1,China,Asia,2015,clinical,585,optrA,Plasmid,fexA-optrA-ermA,
GCF_003962645.1,China,Asia,2015,clinical,476,optrA,Chromosome,Tn6674,WT
GCF_004103105.1,China,Asia,2015,clinical,476,optrA,Chromosome,Tn6674,WT
GCF_005979285.1,China,Asia,2017,clinical,691,optrA,Plasmid,Tn6674,WT
GCF_005979305.1,China,Asia,2017,clinical,74,optrA,Plasmid,fexA-optrA-ermA,
GCF_013312295.1,Canada,North America,2015,clinical,593,optrA,Chromosome,,
GCF_013523155.1,Colombia,South America,2017,clinical,21,optrA,Plasmid,fexA-optrA,
GCF_014325425.1,Lebanon,Asia,2017,clinical,480,optrA,Plasmid,,
GCF_019350975.1,South Korea,Asia,2017,human,86,"cfr(D), optrA, poxtA2",Chromosome,,
