reference,position,total_coverage
NZ_MT874924.1,82,127
NZ_MT874924.1,83,127
NZ_MT874924.1,84,127
NZ_MT874924.1,85,127
NZ_MT874924.1,86,127
NZ_MT874924.1,87,127
NZ_MT874924.1,88,127
NZ_MT874924.1,89,127
NZ_MT874924.1,90,127
NZ_MT874924.1,91,127
NZ_MT874924.1,92,127
NZ_MT874924.1,93,127
NZ_MT874924.1,94,127
NZ_MT874924.1,95,127
NZ_MT874924.1,96,127
NZ_MT874924.1,97,127
NZ_MT874924.1,98,127
NZ_MT874924.1,99,127
NZ_MT874924.1,100,127
NZ_MT874924.1,101,127
NZ_MT874924.1,102,127
NZ_MT874924.1,103,127
NZ_MT874924.1,104,127
NZ_MT874924.1,105,127
NZ_MT874924.1,106,127
NZ_MT874924.1,107,127
NZ_MT874924.1,108,127
NZ_MT874924.1,109,127
NZ_MT874924.1,110,127
NZ_MT874924.1,111,127
NZ_MT874924.1,112,127
NZ_MT874924.1,113,127
NZ_MT874924.1,114,126
NZ_MT874924.1,115,126
NZ_MT874924.1,116,263
NZ_MT874924.1,117,256
NZ_MT874924.1,118,250
NZ_MT874924.1,119,249
NZ_MT874924.1,120,236
NZ_MT874924.1,121,236
NZ_MT874924.1,122,235
NZ_MT874924.1,123,235
NZ_MT874924.1,124,235
NZ_MT874924.1,125,235
NZ_MT874924.1,126,235
NZ_MT874924.1,127,235
NZ_MT874924.1,128,235
NZ_MT874924.1,129,235
NZ_MT874924.1,130,235
NZ_MT874924.1,131,235
NZ_MT874924.1,132,235
NZ_MT874924.1,133,235
NZ_MT874924.1,134,235
NZ_MT874924.1,135,235
NZ_MT874924.1,136,235
NZ_MT874924.1,137,235
NZ_MT874924.1,138,235
NZ_MT874924.1,139,235
NZ_MT874924.1,140,235
NZ_MT874924.1,141,235
NZ_MT874924.1,142,235
NZ_MT874924.1,143,235
NZ_MT874924.1,144,235
NZ_MT874924.1,145,235
NZ_MT874924.1,146,235
NZ_MT874924.1,147,235
NZ_MT874924.1,148,235
NZ_MT874924.1,149,235
NZ_MT874924.1,150,235
NZ_MT874924.1,151,235
NZ_MT874924.1,152,235
NZ_MT874924.1,153,235
NZ_MT874924.1,154,235
NZ_MT874924.1,155,235
NZ_MT874924.1,156,235
NZ_MT874924.1,157,235
NZ_MT874924.1,158,235
NZ_MT874924.1,159,235
NZ_MT874924.1,160,235
NZ_MT874924.1,161,235
NZ_MT874924.1,162,235
NZ_MT874924.1,163,235
NZ_MT874924.1,164,235
NZ_MT874924.1,165,235
NZ_MT874924.1,166,235
NZ_MT874924.1,167,235
NZ_MT874924.1,168,235
NZ_MT874924.1,169,235
NZ_MT874924.1,170,235
NZ_MT874924.1,171,235
NZ_MT874924.1,172,235
NZ_MT874924.1,173,236
NZ_MT874924.1,174,236
NZ_MT874924.1,175,236
NZ_MT874924.1,176,236
NZ_MT874924.1,177,236
NZ_MT874924.1,178,236
NZ_MT874924.1,179,236
NZ_MT874924.1,180,236
NZ_MT874924.1,181,236
NZ_MT874924.1,182,236
NZ_MT874924.1,183,236
NZ_MT874924.1,184,236
NZ_MT874924.1,185,236
NZ_MT874924.1,186,236
NZ_MT874924.1,187,236
NZ_MT874924.1,188,236
NZ_MT874924.1,189,236
NZ_MT874924.1,190,236
NZ_MT874924.1,191,236
NZ_MT874924.1,192,236
NZ_MT874924.1,193,236
NZ_MT874924.1,194,236
NZ_MT874924.1,195,236
NZ_MT874924.1,196,236
NZ_MT874924.1,197,236
NZ_MT874924.1,198,236
NZ_MT874924.1,199,236
NZ_MT874924.1,200,236
NZ_MT874924.1,201,236
NZ_MT874924.1,202,236
NZ_MT874924.1,203,236
NZ_MT874924.1,204,236
NZ_MT874924.1,205,236
NZ_MT874924.1,206,237
NZ_MT874924.1,207,237
NZ_MT874924.1,208,237
NZ_MT874924.1,209,237
NZ_MT874924.1,210,237
NZ_MT874924.1,211,237
NZ_MT874924.1,212,237
NZ_MT874924.1,213,237
NZ_MT874924.1,214,237
NZ_MT874924.1,215,237
NZ_MT874924.1,216,237
NZ_MT874924.1,217,237
NZ_MT874924.1,218,237
NZ_MT874924.1,219,237
NZ_MT874924.1,220,237
NZ_MT874924.1,221,237
NZ_MT874924.1,222,237
NZ_MT874924.1,223,237
NZ_MT874924.1,224,237
NZ_MT874924.1,225,237
NZ_MT874924.1,226,237
NZ_MT874924.1,227,237
NZ_MT874924.1,228,237
NZ_MT874924.1,229,237
NZ_MT874924.1,230,237
NZ_MT874924.1,231,237
NZ_MT874924.1,232,237
NZ_MT874924.1,233,237
NZ_MT874924.1,234,237
NZ_MT874924.1,235,237
NZ_MT874924.1,236,237
NZ_MT874924.1,237,237
NZ_MT874924.1,238,237
NZ_MT874924.1,239,237
NZ_MT874924.1,240,237
NZ_MT874924.1,241,237
NZ_MT874924.1,242,237
NZ_MT874924.1,243,237
NZ_MT874924.1,244,237
NZ_MT874924.1,245,238
NZ_MT874924.1,246,238
NZ_MT874924.1,247,238
NZ_MT874924.1,248,238
NZ_MT874924.1,249,238
NZ_MT874924.1,250,238
NZ_MT874924.1,251,238
NZ_MT874924.1,252,238
NZ_MT874924.1,253,238
NZ_MT874924.1,254,238
NZ_MT874924.1,255,238
NZ_MT874924.1,256,238
NZ_MT874924.1,257,238
NZ_MT874924.1,258,238
NZ_MT874924.1,259,238
NZ_MT874924.1,260,238
NZ_MT874924.1,261,238
NZ_MT874924.1,262,238
NZ_MT874924.1,263,238
NZ_MT874924.1,264,238
NZ_MT874924.1,265,238
NZ_MT874924.1,266,238
NZ_MT874924.1,267,238
NZ_MT874924.1,268,238
NZ_MT874924.1,269,238
NZ_MT874924.1,270,238
NZ_MT874924.1,271,238
NZ_MT874924.1,272,238
NZ_MT874924.1,273,238
NZ_MT874924.1,274,238
NZ_MT874924.1,275,238
NZ_MT874924.1,276,238
NZ_MT874924.1,277,238
NZ_MT874924.1,278,238
NZ_MT874924.1,279,238
NZ_MT874924.1,280,238
NZ_MT874924.1,281,238
NZ_MT874924.1,282,238
NZ_MT874924.1,283,238
NZ_MT874924.1,284,238
NZ_MT874924.1,285,238
NZ_MT874924.1,286,238
NZ_MT874924.1,287,238
NZ_MT874924.1,288,238
NZ_MT874924.1,289,238
NZ_MT874924.1,290,238
NZ_MT874924.1,291,238
NZ_MT874924.1,292,238
NZ_MT874924.1,293,238
NZ_MT874924.1,294,238
NZ_MT874924.1,295,238
NZ_MT874924.1,296,238
NZ_MT874924.1,297,238
NZ_MT874924.1,298,238
NZ_MT874924.1,299,238
NZ_MT874924.1,300,238
NZ_MT874924.1,301,238
NZ_MT874924.1,302,238
NZ_MT874924.1,303,238
NZ_MT874924.1,304,238
NZ_MT874924.1,305,238
NZ_MT874924.1,306,238
NZ_MT874924.1,307,238
NZ_MT874924.1,308,238
NZ_MT874924.1,309,238
NZ_MT874924.1,310,238
NZ_MT874924.1,311,238
NZ_MT874924.1,312,238
NZ_MT874924.1,313,238
NZ_MT874924.1,314,238
NZ_MT874924.1,315,238
NZ_MT874924.1,316,238
NZ_MT874924.1,317,238
NZ_MT874924.1,318,238
NZ_MT874924.1,319,238
NZ_MT874924.1,320,238
NZ_MT874924.1,321,238
NZ_MT874924.1,322,238
NZ_MT874924.1,323,238
NZ_MT874924.1,324,238
NZ_MT874924.1,325,238
NZ_MT874924.1,326,238
NZ_MT874924.1,327,238
NZ_MT874924.1,328,238
NZ_MT874924.1,329,238
NZ_MT874924.1,330,238
NZ_MT874924.1,331,237
NZ_MT874924.1,332,237
NZ_MT874924.1,333,237
NZ_MT874924.1,334,237
NZ_MT874924.1,335,237
NZ_MT874924.1,336,237
NZ_MT874924.1,337,237
NZ_MT874924.1,338,237
NZ_MT874924.1,339,237
NZ_MT874924.1,340,237
NZ_MT874924.1,341,237
NZ_MT874924.1,342,237
NZ_MT874924.1,343,237
NZ_MT874924.1,344,237
NZ_MT874924.1,345,237
NZ_MT874924.1,346,237
NZ_MT874924.1,347,237
NZ_MT874924.1,348,237
NZ_MT874924.1,349,237
NZ_MT874924.1,350,237
NZ_MT874924.1,351,237
NZ_MT874924.1,352,237
NZ_MT874924.1,353,237
NZ_MT874924.1,354,237
NZ_MT874924.1,355,237
NZ_MT874924.1,356,237
NZ_MT874924.1,357,237
NZ_MT874924.1,358,237
NZ_MT874924.1,359,237
NZ_MT874924.1,360,237
NZ_MT874924.1,361,237
NZ_MT874924.1,362,237
NZ_MT874924.1,363,237
NZ_MT874924.1,364,237
NZ_MT874924.1,365,237
NZ_MT874924.1,366,237
NZ_MT874924.1,367,237
NZ_MT874924.1,368,237
NZ_MT874924.1,369,237
NZ_MT874924.1,370,237
NZ_MT874924.1,371,237
NZ_MT874924.1,372,237
NZ_MT874924.1,373,237
NZ_MT874924.1,374,237
NZ_MT874924.1,375,237
NZ_MT874924.1,376,237
NZ_MT874924.1,377,237
NZ_MT874924.1,378,237
NZ_MT874924.1,379,237
NZ_MT874924.1,380,237
NZ_MT874924.1,381,237
NZ_MT874924.1,382,237
NZ_MT874924.1,383,237
NZ_MT874924.1,384,237
NZ_MT874924.1,385,237
NZ_MT874924.1,386,237
NZ_MT874924.1,387,237
NZ_MT874924.1,388,237
NZ_MT874924.1,389,237
NZ_MT874924.1,390,237
NZ_MT874924.1,391,237
NZ_MT874924.1,392,237
NZ_MT874924.1,393,237
NZ_MT874924.1,394,237
NZ_MT874924.1,395,237
NZ_MT874924.1,396,237
NZ_MT874924.1,397,237
NZ_MT874924.1,398,237
NZ_MT874924.1,399,237
NZ_MT874924.1,400,237
NZ_MT874924.1,401,237
NZ_MT874924.1,402,237
NZ_MT874924.1,403,237
NZ_MT874924.1,404,237
NZ_MT874924.1,405,237
NZ_MT874924.1,406,237
NZ_MT874924.1,407,237
NZ_MT874924.1,408,237
NZ_MT874924.1,409,237
NZ_MT874924.1,410,237
NZ_MT874924.1,411,237
NZ_MT874924.1,412,237
NZ_MT874924.1,413,237
NZ_MT874924.1,414,237
NZ_MT874924.1,415,237
NZ_MT874924.1,416,237
NZ_MT874924.1,417,237
NZ_MT874924.1,418,237
NZ_MT874924.1,419,237
NZ_MT874924.1,420,237
NZ_MT874924.1,421,237
NZ_MT874924.1,422,237
NZ_MT874924.1,423,237
NZ_MT874924.1,424,237
NZ_MT874924.1,425,237
NZ_MT874924.1,426,237
NZ_MT874924.1,427,237
NZ_MT874924.1,428,237
NZ_MT874924.1,429,237
NZ_MT874924.1,430,237
NZ_MT874924.1,431,237
NZ_MT874924.1,432,237
NZ_MT874924.1,433,237
NZ_MT874924.1,434,237
NZ_MT874924.1,435,237
NZ_MT874924.1,436,237
NZ_MT874924.1,437,237
NZ_MT874924.1,438,237
NZ_MT874924.1,439,237
NZ_MT874924.1,440,237
NZ_MT874924.1,441,237
NZ_MT874924.1,442,237
NZ_MT874924.1,443,237
NZ_MT874924.1,444,237
NZ_MT874924.1,445,237
NZ_MT874924.1,446,237
NZ_MT874924.1,447,237
NZ_MT874924.1,448,237
NZ_MT874924.1,449,237
NZ_MT874924.1,450,237
NZ_MT874924.1,451,237
NZ_MT874924.1,452,237
NZ_MT874924.1,453,237
NZ_MT874924.1,454,237
NZ_MT874924.1,455,237
NZ_MT874924.1,456,237
NZ_MT874924.1,457,237
NZ_MT874924.1,458,237
NZ_MT874924.1,459,237
NZ_MT874924.1,460,237
NZ_MT874924.1,461,237
NZ_MT874924.1,462,237
NZ_MT874924.1,463,237
NZ_MT874924.1,464,237
NZ_MT874924.1,465,237
NZ_MT874924.1,466,237
NZ_MT874924.1,467,237
NZ_MT874924.1,468,237
NZ_MT874924.1,469,237
NZ_MT874924.1,470,237
NZ_MT874924.1,471,237
NZ_MT874924.1,472,237
NZ_MT874924.1,473,237
NZ_MT874924.1,474,237
NZ_MT874924.1,475,237
NZ_MT874924.1,476,237
NZ_MT874924.1,477,237
NZ_MT874924.1,478,237
NZ_MT874924.1,479,237
NZ_MT874924.1,480,237
NZ_MT874924.1,481,237
NZ_MT874924.1,482,237
NZ_MT874924.1,483,237
NZ_MT874924.1,484,237
NZ_MT874924.1,485,237
NZ_MT874924.1,486,237
NZ_MT874924.1,487,237
NZ_MT874924.1,488,237
NZ_MT874924.1,489,237
NZ_MT874924.1,490,237
NZ_MT874924.1,491,237
NZ_MT874924.1,492,237
NZ_MT874924.1,493,237
NZ_MT874924.1,494,237
NZ_MT874924.1,495,237
NZ_MT874924.1,496,237
NZ_MT874924.1,497,237
NZ_MT874924.1,498,237
NZ_MT874924.1,499,237
NZ_MT874924.1,500,237
NZ_MT874924.1,501,237
NZ_MT874924.1,502,237
NZ_MT874924.1,503,237
NZ_MT874924.1,504,237
NZ_MT874924.1,505,237
NZ_MT874924.1,506,237
NZ_MT874924.1,507,237
NZ_MT874924.1,508,237
NZ_MT874924.1,509,237
NZ_MT874924.1,510,237
NZ_MT874924.1,511,237
NZ_MT874924.1,512,237
NZ_MT874924.1,513,237
NZ_MT874924.1,514,237
NZ_MT874924.1,515,237
NZ_MT874924.1,516,237
NZ_MT874924.1,517,237
NZ_MT874924.1,518,237
NZ_MT874924.1,519,237
NZ_MT874924.1,520,237
NZ_MT874924.1,521,237
NZ_MT874924.1,522,237
NZ_MT874924.1,523,237
NZ_MT874924.1,524,237
NZ_MT874924.1,525,237
NZ_MT874924.1,526,237
NZ_MT874924.1,527,237
NZ_MT874924.1,528,237
NZ_MT874924.1,529,237
NZ_MT874924.1,530,237
NZ_MT874924.1,531,237
NZ_MT874924.1,532,238
NZ_MT874924.1,533,238
NZ_MT874924.1,534,238
NZ_MT874924.1,535,239
NZ_MT874924.1,536,239
NZ_MT874924.1,537,239
NZ_MT874924.1,538,239
NZ_MT874924.1,539,239
NZ_MT874924.1,540,239
NZ_MT874924.1,541,239
NZ_MT874924.1,542,239
NZ_MT874924.1,543,239
NZ_MT874924.1,544,239
NZ_MT874924.1,545,239
NZ_MT874924.1,546,239
NZ_MT874924.1,547,239
NZ_MT874924.1,548,239
NZ_MT874924.1,549,239
NZ_MT874924.1,550,239
NZ_MT874924.1,551,239
NZ_MT874924.1,552,239
NZ_MT874924.1,553,239
NZ_MT874924.1,554,239
NZ_MT874924.1,555,239
NZ_MT874924.1,556,239
NZ_MT874924.1,557,239
NZ_MT874924.1,558,239
NZ_MT874924.1,559,239
NZ_MT874924.1,560,239
NZ_MT874924.1,561,239
NZ_MT874924.1,562,239
NZ_MT874924.1,563,239
NZ_MT874924.1,564,239
NZ_MT874924.1,565,239
NZ_MT874924.1,566,239
NZ_MT874924.1,567,239
NZ_MT874924.1,568,239
NZ_MT874924.1,569,239
NZ_MT874924.1,570,239
NZ_MT874924.1,571,239
NZ_MT874924.1,572,239
NZ_MT874924.1,573,239
NZ_MT874924.1,574,239
NZ_MT874924.1,575,239
NZ_MT874924.1,576,239
NZ_MT874924.1,577,239
NZ_MT874924.1,578,239
NZ_MT874924.1,579,239
NZ_MT874924.1,580,239
NZ_MT874924.1,581,239
NZ_MT874924.1,582,239
NZ_MT874924.1,583,239
NZ_MT874924.1,584,239
NZ_MT874924.1,585,239
NZ_MT874924.1,586,239
NZ_MT874924.1,587,239
NZ_MT874924.1,588,239
NZ_MT874924.1,589,239
NZ_MT874924.1,590,239
NZ_MT874924.1,591,239
NZ_MT874924.1,592,239
NZ_MT874924.1,593,239
NZ_MT874924.1,594,239
NZ_MT874924.1,595,239
NZ_MT874924.1,596,239
NZ_MT874924.1,597,239
NZ_MT874924.1,598,239
NZ_MT874924.1,599,239
NZ_MT874924.1,600,239
NZ_MT874924.1,601,239
NZ_MT874924.1,602,239
NZ_MT874924.1,603,239
NZ_MT874924.1,604,239
NZ_MT874924.1,605,239
NZ_MT874924.1,606,239
NZ_MT874924.1,607,239
NZ_MT874924.1,608,239
NZ_MT874924.1,609,239
NZ_MT874924.1,610,239
NZ_MT874924.1,611,239
NZ_MT874924.1,612,239
NZ_MT874924.1,613,239
NZ_MT874924.1,614,239
NZ_MT874924.1,615,239
NZ_MT874924.1,616,239
NZ_MT874924.1,617,239
NZ_MT874924.1,618,239
NZ_MT874924.1,619,239
NZ_MT874924.1,620,239
NZ_MT874924.1,621,239
NZ_MT874924.1,622,239
NZ_MT874924.1,623,239
NZ_MT874924.1,624,239
NZ_MT874924.1,625,239
NZ_MT874924.1,626,239
NZ_MT874924.1,627,239
NZ_MT874924.1,628,239
NZ_MT874924.1,629,239
NZ_MT874924.1,630,239
NZ_MT874924.1,631,239
NZ_MT874924.1,632,239
NZ_MT874924.1,633,239
NZ_MT874924.1,634,239
NZ_MT874924.1,635,239
NZ_MT874924.1,636,239
NZ_MT874924.1,637,239
NZ_MT874924.1,638,239
NZ_MT874924.1,639,239
NZ_MT874924.1,640,239
NZ_MT874924.1,641,239
NZ_MT874924.1,642,239
NZ_MT874924.1,643,239
NZ_MT874924.1,644,239
NZ_MT874924.1,645,239
NZ_MT874924.1,646,239
NZ_MT874924.1,647,239
NZ_MT874924.1,648,239
NZ_MT874924.1,649,239
NZ_MT874924.1,650,239
NZ_MT874924.1,651,239
NZ_MT874924.1,652,239
NZ_MT874924.1,653,239
NZ_MT874924.1,654,239
NZ_MT874924.1,655,239
NZ_MT874924.1,656,239
NZ_MT874924.1,657,239
NZ_MT874924.1,658,239
NZ_MT874924.1,659,239
NZ_MT874924.1,660,239
NZ_MT874924.1,661,239
NZ_MT874924.1,662,239
NZ_MT874924.1,663,239
NZ_MT874924.1,664,239
NZ_MT874924.1,665,239
NZ_MT874924.1,666,239
NZ_MT874924.1,667,239
NZ_MT874924.1,668,239
NZ_MT874924.1,669,239
NZ_MT874924.1,670,239
NZ_MT874924.1,671,239
NZ_MT874924.1,672,239
NZ_MT874924.1,673,239
NZ_MT874924.1,674,239
NZ_MT874924.1,675,239
NZ_MT874924.1,676,239
NZ_MT874924.1,677,239
NZ_MT874924.1,678,239
NZ_MT874924.1,679,239
NZ_MT874924.1,680,239
NZ_MT874924.1,681,239
NZ_MT874924.1,682,239
NZ_MT874924.1,683,239
NZ_MT874924.1,684,239
NZ_MT874924.1,685,239
NZ_MT874924.1,686,239
NZ_MT874924.1,687,239
NZ_MT874924.1,688,239
NZ_MT874924.1,689,239
NZ_MT874924.1,690,239
NZ_MT874924.1,691,239
NZ_MT874924.1,692,239
NZ_MT874924.1,693,239
NZ_MT874924.1,694,239
NZ_MT874924.1,695,239
NZ_MT874924.1,696,239
NZ_MT874924.1,697,239
NZ_MT874924.1,698,239
NZ_MT874924.1,699,239
NZ_MT874924.1,700,239
NZ_MT874924.1,701,239
NZ_MT874924.1,702,239
NZ_MT874924.1,703,239
NZ_MT874924.1,704,239
NZ_MT874924.1,705,239
NZ_MT874924.1,706,239
NZ_MT874924.1,707,239
NZ_MT874924.1,708,239
NZ_MT874924.1,709,239
NZ_MT874924.1,710,239
NZ_MT874924.1,711,239
NZ_MT874924.1,712,239
NZ_MT874924.1,713,239
NZ_MT874924.1,714,239
NZ_MT874924.1,715,239
NZ_MT874924.1,716,239
NZ_MT874924.1,717,239
NZ_MT874924.1,718,239
NZ_MT874924.1,719,239
NZ_MT874924.1,720,239
NZ_MT874924.1,721,239
NZ_MT874924.1,722,239
NZ_MT874924.1,723,239
NZ_MT874924.1,724,239
NZ_MT874924.1,725,239
NZ_MT874924.1,726,239
NZ_MT874924.1,727,240
NZ_MT874924.1,728,240
NZ_MT874924.1,729,240
NZ_MT874924.1,730,240
NZ_MT874924.1,731,240
NZ_MT874924.1,732,240
NZ_MT874924.1,733,240
NZ_MT874924.1,734,240
NZ_MT874924.1,735,240
NZ_MT874924.1,736,240
NZ_MT874924.1,737,240
NZ_MT874924.1,738,240
NZ_MT874924.1,739,240
NZ_MT874924.1,740,240
NZ_MT874924.1,741,240
NZ_MT874924.1,742,240
NZ_MT874924.1,743,240
NZ_MT874924.1,744,240
NZ_MT874924.1,745,240
NZ_MT874924.1,746,240
NZ_MT874924.1,747,240
NZ_MT874924.1,748,240
NZ_MT874924.1,749,240
NZ_MT874924.1,750,240
NZ_MT874924.1,751,240
NZ_MT874924.1,752,240
NZ_MT874924.1,753,240
NZ_MT874924.1,754,240
NZ_MT874924.1,755,240
NZ_MT874924.1,756,240
NZ_MT874924.1,757,240
NZ_MT874924.1,758,239
NZ_MT874924.1,759,239
NZ_MT874924.1,760,240
NZ_MT874924.1,761,240
NZ_MT874924.1,762,240
NZ_MT874924.1,763,240
NZ_MT874924.1,764,241
NZ_MT874924.1,765,240
NZ_MT874924.1,766,240
NZ_MT874924.1,767,240
NZ_MT874924.1,768,240
NZ_MT874924.1,769,240
NZ_MT874924.1,770,240
NZ_MT874924.1,771,240
NZ_MT874924.1,772,240
NZ_MT874924.1,773,240
NZ_MT874924.1,774,240
NZ_MT874924.1,775,240
NZ_MT874924.1,776,240
NZ_MT874924.1,777,240
NZ_MT874924.1,778,240
NZ_MT874924.1,779,240
NZ_MT874924.1,780,240
NZ_MT874924.1,781,240
NZ_MT874924.1,782,240
NZ_MT874924.1,783,240
NZ_MT874924.1,784,240
NZ_MT874924.1,785,240
NZ_MT874924.1,786,240
NZ_MT874924.1,787,240
NZ_MT874924.1,788,240
NZ_MT874924.1,789,240
NZ_MT874924.1,790,240
NZ_MT874924.1,791,240
NZ_MT874924.1,792,240
NZ_MT874924.1,793,240
NZ_MT874924.1,794,240
NZ_MT874924.1,795,240
NZ_MT874924.1,796,240
NZ_MT874924.1,797,240
NZ_MT874924.1,798,240
NZ_MT874924.1,799,240
NZ_MT874924.1,800,240
NZ_MT874924.1,801,240
NZ_MT874924.1,802,240
NZ_MT874924.1,803,240
NZ_MT874924.1,804,240
NZ_MT874924.1,805,240
NZ_MT874924.1,806,240
NZ_MT874924.1,807,240
NZ_MT874924.1,808,240
NZ_MT874924.1,809,240
NZ_MT874924.1,810,240
NZ_MT874924.1,811,240
NZ_MT874924.1,812,240
NZ_MT874924.1,813,240
NZ_MT874924.1,814,240
NZ_MT874924.1,815,240
NZ_MT874924.1,816,240
NZ_MT874924.1,817,240
NZ_MT874924.1,818,240
NZ_MT874924.1,819,240
NZ_MT874924.1,820,240
NZ_MT874924.1,821,240
NZ_MT874924.1,822,240
NZ_MT874924.1,823,240
NZ_MT874924.1,824,240
NZ_MT874924.1,825,240
NZ_MT874924.1,826,240
NZ_MT874924.1,827,240
NZ_MT874924.1,828,240
NZ_MT874924.1,829,240
NZ_MT874924.1,830,240
NZ_MT874924.1,831,240
NZ_MT874924.1,832,240
NZ_MT874924.1,833,240
NZ_MT874924.1,834,240
NZ_MT874924.1,835,240
NZ_MT874924.1,836,240
NZ_MT874924.1,837,240
NZ_MT874924.1,838,240
NZ_MT874924.1,839,240
NZ_MT874924.1,840,240
NZ_MT874924.1,841,240
NZ_MT874924.1,842,240
NZ_MT874924.1,843,240
NZ_MT874924.1,844,240
NZ_MT874924.1,845,240
NZ_MT874924.1,846,240
NZ_MT874924.1,847,240
NZ_MT874924.1,848,240
NZ_MT874924.1,849,240
NZ_MT874924.1,850,240
NZ_MT874924.1,851,240
NZ_MT874924.1,852,240
NZ_MT874924.1,853,240
NZ_MT874924.1,854,240
NZ_MT874924.1,855,240
NZ_MT874924.1,856,240
NZ_MT874924.1,857,240
NZ_MT874924.1,858,240
NZ_MT874924.1,859,240
NZ_MT874924.1,860,240
NZ_MT874924.1,861,240
NZ_MT874924.1,862,240
NZ_MT874924.1,863,240
NZ_MT874924.1,864,240
NZ_MT874924.1,865,240
NZ_MT874924.1,866,240
NZ_MT874924.1,867,240
NZ_MT874924.1,868,240
NZ_MT874924.1,869,240
NZ_MT874924.1,870,240
NZ_MT874924.1,871,240
NZ_MT874924.1,872,240
NZ_MT874924.1,873,240
NZ_MT874924.1,874,240
NZ_MT874924.1,875,240
NZ_MT874924.1,876,240
NZ_MT874924.1,877,240
NZ_MT874924.1,878,240
NZ_MT874924.1,879,240
NZ_MT874924.1,880,240
NZ_MT874924.1,881,240
NZ_MT874924.1,882,240
NZ_MT874924.1,883,240
NZ_MT874924.1,884,240
NZ_MT874924.1,885,240
NZ_MT874924.1,886,240
NZ_MT874924.1,887,240
NZ_MT874924.1,888,240
NZ_MT874924.1,889,240
NZ_MT874924.1,890,240
NZ_MT874924.1,891,240
NZ_MT874924.1,892,240
NZ_MT874924.1,893,240
NZ_MT874924.1,894,240
NZ_MT874924.1,895,240
NZ_MT874924.1,896,240
NZ_MT874924.1,897,240
NZ_MT874924.1,898,240
NZ_MT874924.1,899,240
NZ_MT874924.1,900,240
NZ_MT874924.1,901,240
NZ_MT874924.1,902,240
NZ_MT874924.1,903,240
NZ_MT874924.1,904,240
NZ_MT874924.1,905,240
NZ_MT874924.1,906,240
NZ_MT874924.1,907,241
NZ_MT874924.1,908,241
NZ_MT874924.1,909,241
NZ_MT874924.1,910,241
NZ_MT874924.1,911,241
NZ_MT874924.1,912,241
NZ_MT874924.1,913,241
NZ_MT874924.1,914,242
NZ_MT874924.1,915,242
NZ_MT874924.1,916,242
NZ_MT874924.1,917,242
NZ_MT874924.1,918,242
NZ_MT874924.1,919,242
NZ_MT874924.1,920,242
NZ_MT874924.1,921,242
NZ_MT874924.1,922,242
NZ_MT874924.1,923,242
NZ_MT874924.1,924,242
NZ_MT874924.1,925,242
NZ_MT874924.1,926,242
NZ_MT874924.1,927,242
NZ_MT874924.1,928,242
NZ_MT874924.1,929,242
NZ_MT874924.1,930,242
NZ_MT874924.1,931,241
