ID,country,continent,year,sample_type,ST,CC,lzd_genotype,van_operon,mlplasmids_prediction,predicted_optrA_context
GCA_026204135.1,China,Asia,2021,animal,,,"optrA, poxtA",,Plasmid,fexA-optrA-ermA
GCA_026204185.1,China,Asia,2021,animal,1630,,"optrA, poxtA",,Chromosome,
GCA_027944535.1,China,Asia,2021,animal,158,,"optrA, poxtA",,Chromosome,fexA-optrA-ermA
GCA_028784175.1,China,Asia,2021,animal,262,,optrA,,Plasmid,
GCA_028891525.1,China,Asia,2021,animal,,,optrA,,Plasmid,fexA-optrA-ermA
GCA_030064735.1,China,Asia,2022,environment,,,"optrA, poxtA",,Chromosome,optrA-erm
GCA_030179055.1,China,Asia,2021,environment,590,,optrA,,Plasmid,
GCA_030179115.1,China,Asia,2019,animal,,,optrA,,Chromosome,optrA-erm
GCA_030179135.1,China,Asia,2019,animal,,,"optrA, poxtA",,Plasmid,fexA-optrA-ermA
GCA_030179235.1,China,Asia,2019,animal,,,optrA,,Chromosome,optrA-erm
GCA_030179275.1,China,Asia,2019,animal,22,,optrA,,Chromosome,optrA-erm
GCA_030179285.1,China,Asia,2019,animal,,,optrA,,Chromosome,optrA-erm
GCA_030179335.1,China,Asia,2019,environment,,17,optrA,,Chromosome,
GCA_030179375.1,China,Asia,2019,environment,,,optrA,,Chromosome,optrA-erm
GCA_030179465.1,China,Asia,2019,environment,1507,,optrA,,Chromosome,optrA-erm
GCA_030179505.1,China,Asia,2019,animal,29,,"optrA, poxtA",,Chromosome,
GCA_030340025.1,China,Asia,2019,animal,1263,,optrA,,Chromosome,fexA-optrA-ermA
GCA_030340045.1,China,Asia,2019,environment,80,17,"optrA, poxtA",,Plasmid,fexA-optrA-ermA
SRR10094574,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094578,Pakistan,Asia,2016,clinical/human,132,17,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094580,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094581,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094582,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094586,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094597,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA",vanA,Plasmid,
SRR10094598,Pakistan,Asia,2016,clinical/human,132,17,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094599,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094600,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094601,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094602,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094603,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094604,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094605,Pakistan,Asia,2016,clinical/human,132,17,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094607,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094609,Pakistan,Asia,2016,clinical/human,80,17,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094612,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA",vanA,Chromosome,
SRR10094613,Pakistan,Asia,2016,clinical/human,132,17,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094619,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094620,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10094621,Pakistan,Asia,2016,clinical/human,,,"cfr(D), optrA, poxtA",vanA,Chromosome,
SRR10276527,Australia,Oceania,2019,clinical/human,872,17,"cfr(D), optrA",vanA,Chromosome,optrA-erm
SRR13080468,Belgium,Europe,2018,clinical/human,202,17,optrA,,Chromosome,optrA-erm
SRR13902732,India,Asia,2019,clinical/human,80,17,optrA,,Plasmid,Tn6261
SRR13902733,India,Asia,2020,clinical/human,1380,17,"cfr(D), optrA",vanA,Chromosome,optrA-erm
SRR14024963,Denmark,Europe,2018,clinical/human,32,17,"cfr(D), optrA, poxtA",vanA,Plasmid,
SRR14024972,Thailand,Asia,2018,clinical/human,,,"cfr(D), optrA",vanA,Chromosome,optrA-erm
SRR14024974,India,Asia,2021,clinical/human,,17,"cfr(D), optrA",vanA,Chromosome,
SRR14024975,Canada,North America,2015,animal,944,17,"cfr, optrA",,Chromosome,optrA-erm
SRR14024978,Canada,North America,2015,animal,,,"optrA, poxtA",,Chromosome,
SRR14024984,Canada,North America,2015,animal,,,optrA,,Chromosome,
SRR14024990,Canada,North America,2015,animal,,,optrA,,Chromosome,
SRR14026497,Canada,North America,2016,animal,,,"optrA, poxtA",,Chromosome,optrA-erm
SRR14026508,Canada,North America,2015,animal,212,,"optrA, poxtA",,Chromosome,
SRR14026532,Canada,North America,2015,animal,,,"optrA, poxtA",,Chromosome,
SRR14889759,Canada,North America,2015,environment,132,,optrA,,Chromosome,
SRR19369843,Canada,North America,2015,animal,,,optrA,,Chromosome,optrA-erm
SRR21102107,Canada,North America,2015,environment,104,,"optrA, poxtA",,Plasmid,
SRR21102110,Belgium,Europe,2020,animal,1628,,"optrA, poxtA",,Chromosome,fexA-optrA-ermA
SRR21102115,Belgium,Europe,2020,animal,22,17,"optrA, poxtA",,Plasmid,
SRR21102125,Belgium,Europe,2020,animal,324,17,"optrA, poxtA",,Plasmid,Tn6261
SRR21102131,Belgium,Europe,2019,animal,55,17,"optrA, poxtA",,Chromosome,optrA-erm
SRR23047325,Belgium,Europe,2019,animal,80,17,"optrA, poxtA",,Plasmid,Tn6261
